Farfield Name,Separation S1-S2,Separation S2-S3,Peak,Peak %ch,P-to-P,P-to-P %ch,P/B,P/B %ch,X-corr,AvgdB,MaxdB,MaxPhase,Dropout Legal,X-corr Legal
3150T__035_2000_100_075,100,75,69.0,0.2,130.7,-1.0,51.3,-2.5,0.9997,0.07,0.2,1.2109999999999999,True,green
3150T__035_2000_100_080,100,80,69.0,0.1,130.1,-1.5,50.8,-3.5,0.9993,0.1,0.2,1.435,True,green
3150T__035_2000_100_085,100,85,69.0,0.1,129.5,-1.9,50.3,-4.4,0.9987,0.13,0.3,1.626,True,green
3150T__035_2000_100_090,100,90,69.0,0.1,129.0,-2.3,49.8,-5.3,0.9979,0.15,0.3,1.902,False,green
3150T__035_2000_100_095,100,95,69.0,0.2,128.6,-2.7,49.5,-6.0,0.9971,0.17,0.3,2.158,False,green
3150T__035_2000_100_100,100,100,69.0,0.2,128.2,-2.9,49.2,-6.6,0.9963,0.19,0.4,2.4219999999999997,False,green
3150T__035_2000_100_105,100,105,69.1,0.3,128.0,-3.1,48.9,-7.0,0.9955,0.21,0.4,2.682,False,yellow
3150T__035_2000_100_110,100,110,69.1,0.3,127.8,-3.2,48.7,-7.4,0.9947,0.22,0.5,2.928,False,yellow
3150T__035_2000_100_115,100,115,69.1,0.3,127.8,-3.3,48.6,-7.7,0.9941,0.24,0.5,3.1710000000000003,False,yellow
3150T__035_2000_100_120,100,120,69.1,0.3,127.8,-3.3,48.4,-8.0,0.9937,0.25,0.5,3.3939999999999997,False,yellow
3150T__035_2000_105_040,105,40,68.9,0.0,130.6,-1.1,54.0,2.6,0.9917,0.26,0.6,3.957,False,yellow
3150T__035_2000_105_045,105,45,69.1,0.3,131.5,-0.4,53.8,2.2,0.9937,0.19,0.4,2.68,False,yellow
3150T__035_2000_105_050,105,50,69.2,0.5,132.1,-0.0,53.7,2.0,0.9957,0.13,0.3,1.679,False,yellow
3150T__035_2000_105_055,105,55,69.3,0.5,132.2,0.1,53.2,1.1,0.9975,0.08,0.2,1.1,False,green
3150T__035_2000_105_060,105,60,69.2,0.5,132.0,-0.0,52.7,0.2,0.9987,0.05,0.2,1.183,True,green
3150T__035_2000_105_065,105,65,69.2,0.4,131.6,-0.4,52.1,-0.9,0.9994,0.04,0.1,1.2670000000000001,True,green
3150T__035_2000_105_070,105,70,69.1,0.3,131.1,-0.8,51.6,-2.0,0.9996,0.06,0.2,1.4069999999999998,True,green
3150T__035_2000_105_075,105,75,69.1,0.3,130.5,-1.2,51.0,-3.1,0.9994,0.09,0.2,1.545,True,green
3150T__035_2000_105_080,105,80,69.0,0.2,129.8,-1.7,50.5,-4.1,0.9989,0.12,0.3,1.736,True,green
3150T__035_2000_105_085,105,85,69.0,0.2,129.3,-2.1,50.0,-5.0,0.9982,0.15,0.3,1.919,True,green
3150T__035_2000_105_090,105,90,69.0,0.2,128.7,-2.5,49.6,-5.8,0.9974,0.17,0.4,2.155,False,green
3150T__035_2000_105_095,105,95,69.0,0.2,128.3,-2.8,49.2,-6.5,0.9964,0.19,0.4,2.403,False,green
3150T__035_2000_105_100,105,100,69.1,0.3,128.0,-3.1,48.9,-7.1,0.9955,0.21,0.4,2.634,False,yellow
3150T__035_2000_105_105,105,105,69.1,0.3,127.7,-3.3,48.7,-7.5,0.9946,0.23,0.5,2.878,False,yellow
3150T__035_2000_105_110,105,110,69.1,0.3,127.6,-3.4,48.5,-7.8,0.9937,0.24,0.5,3.1039999999999996,False,yellow
3150T__035_2000_105_115,105,115,69.1,0.4,127.5,-3.4,48.3,-8.2,0.993,0.25,0.5,3.3289999999999997,False,yellow
3150T__035_2000_105_120,105,120,69.1,0.4,127.5,-3.4,48.2,-8.5,0.9925,0.26,0.5,3.5439999999999996,False,yellow
3150T__035_2000_110_040,110,40,68.9,0.0,130.5,-1.2,53.8,2.3,0.9908,0.25,0.6,3.9210000000000003,False,yellow
3150T__035_2000_110_045,110,45,69.1,0.4,131.4,-0.5,53.6,1.8,0.993,0.18,0.4,2.636,False,yellow
3150T__035_2000_110_050,110,50,69.3,0.6,131.9,-0.1,53.4,1.6,0.9952,0.12,0.3,1.619,False,yellow
3150T__035_2000_110_055,110,55,69.3,0.6,132.1,-0.0,53.0,0.7,0.9971,0.08,0.2,1.5530000000000002,False,green
3150T__035_2000_110_060,110,60,69.3,0.6,131.9,-0.1,52.5,-0.3,0.9984,0.05,0.2,1.565,True,green
3150T__035_2000_110_065,110,65,69.2,0.5,131.4,-0.5,51.9,-1.4,0.9992,0.06,0.2,1.641,True,green
3150T__035_2000_110_070,110,70,69.2,0.4,130.9,-0.9,51.3,-2.5,0.9993,0.08,0.2,1.732,True,green
3150T__035_2000_110_075,110,75,69.1,0.3,130.3,-1.3,50.8,-3.5,0.9991,0.11,0.3,1.871,True,green
3150T__035_2000_110_080,110,80,69.1,0.3,129.7,-1.8,50.2,-4.6,0.9985,0.14,0.3,2.0269999999999997,True,green
3150T__035_2000_110_085,110,85,69.0,0.2,129.1,-2.2,49.8,-5.4,0.9977,0.16,0.4,2.181,False,green
3150T__035_2000_110_090,110,90,69.0,0.2,128.6,-2.6,49.3,-6.3,0.9968,0.18,0.4,2.399,False,green
3150T__035_2000_110_095,110,95,69.1,0.2,128.2,-3.0,49.0,-6.9,0.9958,0.21,0.4,2.6239999999999997,False,yellow
3150T__035_2000_110_100,110,100,69.1,0.3,127.8,-3.2,48.7,-7.5,0.9947,0.22,0.5,2.835,False,yellow
3150T__035_2000_110_105,110,105,69.1,0.3,127.6,-3.4,48.5,-7.9,0.9937,0.24,0.5,3.0639999999999996,False,yellow
3150T__035_2000_110_110,110,110,69.1,0.4,127.5,-3.5,48.3,-8.2,0.9928,0.25,0.5,3.279,False,yellow
3150T__035_2000_110_115,110,115,69.2,0.4,127.4,-3.5,48.1,-8.6,0.992,0.27,0.6,3.4960000000000004,False,yellow
3150T__035_2000_110_120,110,120,69.2,0.4,127.4,-3.5,47.9,-8.9,0.9915,0.28,0.6,3.6910000000000003,False,yellow
3150T__035_2000_115_040,115,40,68.9,0.1,130.5,-1.2,53.6,1.9,0.9899,0.23,0.5,3.877,False,red
3150T__035_2000_115_045,115,45,69.2,0.4,131.3,-0.6,53.4,1.5,0.9923,0.16,0.4,2.596,False,yellow
3150T__035_2000_115_050,115,50,69.3,0.6,131.8,-0.2,53.2,1.1,0.9947,0.11,0.3,2.01,False,yellow
3150T__035_2000_115_055,115,55,69.3,0.6,132.0,-0.1,52.8,0.3,0.9967,0.07,0.3,1.93,False,green
3150T__035_2000_115_060,115,60,69.3,0.6,131.8,-0.2,52.3,-0.7,0.9981,0.06,0.2,1.946,True,green
3150T__035_2000_115_065,115,65,69.3,0.5,131.4,-0.5,51.7,-1.8,0.9989,0.07,0.2,1.98,True,green
3150T__035_2000_115_070,115,70,69.2,0.4,130.8,-0.9,51.1,-2.9,0.999,0.09,0.3,2.07,True,green
3150T__035_2000_115_075,115,75,69.1,0.4,130.2,-1.4,50.6,-3.9,0.9988,0.12,0.3,2.1830000000000003,True,green
3150T__035_2000_115_080,115,80,69.1,0.3,129.6,-1.9,50.0,-4.9,0.9982,0.15,0.3,2.302,True,green
3150T__035_2000_115_085,115,85,69.1,0.3,129.0,-2.3,49.6,-5.7,0.9973,0.17,0.4,2.455,False,green
3150T__035_2000_115_090,115,90,69.1,0.2,128.5,-2.7,49.2,-6.6,0.9963,0.2,0.4,2.6439999999999997,False,green
3150T__035_2000_115_095,115,95,69.1,0.3,128.1,-3.0,48.8,-7.3,0.9952,0.22,0.5,2.842,False,yellow
3150T__035_2000_115_100,115,100,69.1,0.3,127.8,-3.3,48.5,-7.8,0.9941,0.24,0.5,3.0460000000000003,False,yellow
3150T__035_2000_115_105,115,105,69.1,0.4,127.5,-3.4,48.3,-8.2,0.993,0.25,0.5,3.2569999999999997,False,yellow
3150T__035_2000_115_110,115,110,69.2,0.4,127.4,-3.5,48.1,-8.6,0.992,0.27,0.6,3.471,False,yellow
3150T__035_2000_115_115,115,115,69.2,0.4,127.3,-3.6,47.9,-8.9,0.9912,0.28,0.6,3.668,False,yellow
3150T__035_2000_115_120,115,120,69.2,0.5,127.3,-3.6,47.8,-9.2,0.9906,0.29,0.6,3.8760000000000003,False,yellow
3150T__035_2000_120_040,120,40,68.9,0.1,130.5,-1.2,53.5,1.6,0.989,0.22,0.5,3.8289999999999997,False,red
3150T__035_2000_120_045,120,45,69.2,0.4,131.3,-0.6,53.2,1.1,0.9916,0.15,0.4,2.5580000000000003,False,yellow
3150T__035_2000_120_050,120,50,69.3,0.6,131.8,-0.2,53.0,0.7,0.9941,0.1,0.4,2.407,False,yellow
3150T__035_2000_120_055,120,55,69.4,0.7,132.0,-0.1,52.6,-0.0,0.9962,0.08,0.3,2.325,False,green
3150T__035_2000_120_060,120,60,69.3,0.6,131.8,-0.2,52.1,-1.0,0.9977,0.07,0.2,2.3,False,green
3150T__035_2000_120_065,120,65,69.3,0.6,131.4,-0.5,51.5,-2.1,0.9985,0.09,0.2,2.314,True,green
3150T__035_2000_120_070,120,70,69.2,0.5,130.8,-0.9,51.0,-3.2,0.9987,0.11,0.3,2.3569999999999998,True,green
3150T__035_2000_120_075,120,75,69.1,0.4,130.2,-1.4,50.4,-4.2,0.9985,0.13,0.3,2.424,True,green
3150T__035_2000_120_080,120,80,69.1,0.3,129.6,-1.9,49.9,-5.2,0.9978,0.16,0.4,2.546,False,green
3150T__035_2000_120_085,120,85,69.1,0.3,129.0,-2.3,49.4,-6.1,0.997,0.18,0.4,2.698,False,green
3150T__035_2000_120_090,120,90,69.1,0.2,128.5,-2.7,49.0,-6.9,0.9959,0.21,0.5,2.8789999999999996,False,yellow
3150T__035_2000_120_095,120,95,69.1,0.3,128.1,-3.0,48.6,-7.6,0.9948,0.23,0.5,3.0660000000000003,False,yellow
3150T__035_2000_120_100,120,100,69.1,0.3,127.8,-3.3,48.3,-8.2,0.9937,0.25,0.5,3.248,False,yellow
3150T__035_2000_120_105,120,105,69.1,0.4,127.5,-3.4,48.1,-8.6,0.9925,0.26,0.6,3.455,False,yellow
3150T__035_2000_120_110,120,110,69.2,0.4,127.4,-3.5,47.9,-8.9,0.9915,0.28,0.6,3.65,False,yellow
3150T__035_2000_120_115,120,115,69.2,0.5,127.3,-3.6,47.8,-9.2,0.9906,0.29,0.6,3.86,False,yellow
3150T__035_2000_120_120,120,120,69.2,0.5,127.3,-3.6,47.6,-9.5,0.9899,0.3,0.6,4.064,False,red
