Separation S1-S2,Separation S2-S3,X-corr,tick
91.0,41.0,0.9942995392187944,2.0
92.0,41.0,0.9941610934691745,2.0
93.0,41.0,0.994018136163469,2.0
94.0,41.0,0.9938687231163681,2.0
95.0,41.0,0.9937109101425595,2.0
96.0,41.0,0.9935435753105404,2.0
97.0,41.0,0.9933688857040384,2.0
98.0,41.0,0.9931898306605903,2.0
99.0,41.0,0.9930093995177324,2.0
100.0,41.0,0.9928305816130018,2.0
101.0,41.0,0.9926555285642582,2.0
102.0,41.0,0.9924830411106622,2.0
103.0,41.0,0.9923110822716965,2.0
104.0,41.0,0.9921376150668454,2.0
105.0,41.0,0.9919606025155923,2.0
106.0,41.0,0.991778709796652,2.0
107.0,41.0,0.9915934107256582,2.0
108.0,41.0,0.9914068812774762,2.0
109.0,41.0,0.991221297426971,2.0
110.0,41.0,0.9910388351490083,2.0
111.0,41.0,0.9908612190385051,2.0
112.0,41.0,0.9906883681705915,2.0
113.0,41.0,0.9905197502404501,2.0
114.0,41.0,0.9903548329432651,2.0
115.0,41.0,0.9901930839742181,2.0
116.0,41.0,0.9900339710284932,2.0
117.0,41.0,0.9898769618012723,2.0
118.0,41.0,0.9897215239877389,2.0
119.0,41.0,0.9895671252830757,2.0
120.0,41.0,0.9894132333824659,2.0
40.0,42.0,0.980063791237249,2.0
41.0,42.0,0.9808170606499167,2.0
42.0,42.0,0.9815524598811624,2.0
43.0,42.0,0.9822712394074223,2.0
44.0,42.0,0.9829746497051333,2.0
45.0,42.0,0.9836639412507323,2.0
46.0,42.0,0.984340364520657,2.0
47.0,42.0,0.9850051699913434,2.0
48.0,42.0,0.9856596081392289,2.0
49.0,42.0,0.9863049294407503,2.0
50.0,42.0,0.9869423843723443,2.0
51.0,42.0,0.9875721667174372,2.0
52.0,42.0,0.98819024348741,2.0
53.0,42.0,0.9887915250006336,2.0
54.0,42.0,0.9893709215754777,2.0
55.0,42.0,0.9899233435303127,2.0
56.0,42.0,0.9904449096301663,2.0
57.0,42.0,0.9909365724266942,2.0
58.0,42.0,0.9914004929182073,2.0
59.0,42.0,0.9918388321030187,2.0
60.0,42.0,0.9922537509794402,2.0
61.0,42.0,0.9926469237962777,2.0
62.0,42.0,0.9930180778043097,2.0
63.0,42.0,0.9933664535048063,2.0
64.0,42.0,0.9936912913990397,2.0
65.0,42.0,0.9939918319882822,2.0
66.0,42.0,0.9942674374142344,2.0
67.0,42.0,0.9945179563803208,2.0
68.0,42.0,0.9947433592303939,2.0
69.0,42.0,0.9949436163083079,2.0
70.0,42.0,0.9951186979579164,1.0
71.0,42.0,0.9952686021818458,1.0
72.0,42.0,0.9953934376178109,1.0
73.0,42.0,0.995493340562299,1.0
74.0,42.0,0.9955684473117974,1.0
75.0,42.0,0.9956188941627943,1.0
76.0,42.0,0.99564533987081,1.0
77.0,42.0,0.9956505330274993,1.0
