FARFIELD COMPARISON ANALYSIS FILE

Comparison analysis performed by Nucleus+ version 2.8.0
Comparison analysis performed by Marine Source Modelling version 2.0.0

Time window for computation (ms)   : -73.00  -  327.00
Primary pick window (ms)           : -73.00  -   30.00
Bubble pick window (ms)            :  50.00  -  200.00

Frequency analysis option  : Average absolute spectral deviation
Bandwidth of analysis (Hz) :  10.00  -   70.00


         Farfield name          Peak       %ch    P-to-P       %ch       P/B       %ch    X-corr     AvgdB      MaxdB   MaxPhase   Coordinates     Dip/X     Az/Y    Dist/Z
3150T__035_2000_080             68.9       0.0     132.1       0.0      52.6       0.0    1.0000      0.00       0.0     0.000     Polar          0.00      0.00   9000.00
3150T__035_2000_115_040         68.9       0.1     130.5      -1.2      53.6       1.9    0.9899      0.23       0.5     3.877     Polar          0.00      0.00   9000.00
3150T__035_2000_115_045         69.2       0.4     131.3      -0.6      53.4       1.5    0.9923      0.16       0.4     2.596     Polar          0.00      0.00   9000.00
3150T__035_2000_115_050         69.3       0.6     131.8      -0.2      53.2       1.1    0.9947      0.11       0.3     2.010     Polar          0.00      0.00   9000.00
3150T__035_2000_115_055         69.3       0.6     132.0      -0.1      52.8       0.3    0.9967      0.07       0.3     1.930     Polar          0.00      0.00   9000.00
3150T__035_2000_115_060         69.3       0.6     131.8      -0.2      52.3      -0.7    0.9981      0.06       0.2     1.946     Polar          0.00      0.00   9000.00
3150T__035_2000_115_065         69.3       0.5     131.4      -0.5      51.7      -1.8    0.9989      0.07       0.2     1.980     Polar          0.00      0.00   9000.00
3150T__035_2000_115_070         69.2       0.4     130.8      -0.9      51.1      -2.9    0.9990      0.09       0.3     2.070     Polar          0.00      0.00   9000.00
3150T__035_2000_115_075         69.1       0.4     130.2      -1.4      50.6      -3.9    0.9988      0.12       0.3     2.183     Polar          0.00      0.00   9000.00
3150T__035_2000_115_080         69.1       0.3     129.6      -1.9      50.0      -4.9    0.9982      0.15       0.3     2.302     Polar          0.00      0.00   9000.00
3150T__035_2000_115_085         69.1       0.3     129.0      -2.3      49.6      -5.7    0.9973      0.17       0.4     2.455     Polar          0.00      0.00   9000.00
3150T__035_2000_115_090         69.1       0.2     128.5      -2.7      49.2      -6.6    0.9963      0.20       0.4     2.644     Polar          0.00      0.00   9000.00
3150T__035_2000_115_095         69.1       0.3     128.1      -3.0      48.8      -7.3    0.9952      0.22       0.5     2.842     Polar          0.00      0.00   9000.00
3150T__035_2000_115_100         69.1       0.3     127.8      -3.3      48.5      -7.8    0.9941      0.24       0.5     3.046     Polar          0.00      0.00   9000.00
3150T__035_2000_115_105         69.1       0.4     127.5      -3.4      48.3      -8.2    0.9930      0.25       0.5     3.257     Polar          0.00      0.00   9000.00
3150T__035_2000_115_110         69.2       0.4     127.4      -3.5      48.1      -8.6    0.9920      0.27       0.6     3.471     Polar          0.00      0.00   9000.00
3150T__035_2000_115_115         69.2       0.4     127.3      -3.6      47.9      -8.9    0.9912      0.28       0.6     3.668     Polar          0.00      0.00   9000.00
3150T__035_2000_115_120         69.2       0.5     127.3      -3.6      47.8      -9.2    0.9906      0.29       0.6     3.876     Polar          0.00      0.00   9000.00
