FARFIELD COMPARISON ANALYSIS FILE

Comparison analysis performed by Nucleus+ version 2.8.0
Comparison analysis performed by Marine Source Modelling version 2.0.0

Time window for computation (ms)   : -73.00  -  327.00
Primary pick window (ms)           : -73.00  -   30.00
Bubble pick window (ms)            :  50.00  -  200.00

Frequency analysis option  : Average absolute spectral deviation
Bandwidth of analysis (Hz) :  10.00  -   70.00


         Farfield name          Peak       %ch    P-to-P       %ch       P/B       %ch    X-corr     AvgdB      MaxdB   MaxPhase   Coordinates     Dip/X     Az/Y    Dist/Z
3150T__035_2000_080             68.9       0.0     132.1       0.0      52.6       0.0    1.0000      0.00       0.0     0.000     Polar          0.00      0.00   9000.00
3150T__035_2000_095_040         68.9      -0.0     131.0      -0.8      54.5       3.6    0.9935      0.32       0.7     4.055     Polar          0.00      0.00   9000.00
3150T__035_2000_095_045         69.1       0.3     132.0      -0.0      54.4       3.3    0.9950      0.24       0.5     2.788     Polar          0.00      0.00   9000.00
3150T__035_2000_095_050         69.2       0.4     132.6       0.4      54.2       3.0    0.9966      0.18       0.3     1.791     Polar          0.00      0.00   9000.00
3150T__035_2000_095_055         69.2       0.4     132.8       0.5      53.8       2.2    0.9980      0.12       0.2     1.202     Polar          0.00      0.00   9000.00
3150T__035_2000_095_060         69.1       0.4     132.6       0.4      53.3       1.3    0.9990      0.08       0.2     0.738     Polar          0.00      0.00   9000.00
3150T__035_2000_095_065         69.1       0.3     132.2       0.1      52.8       0.3    0.9996      0.04       0.1     0.531     Polar          0.00      0.00   9000.00
3150T__035_2000_095_070         69.0       0.2     131.7      -0.3      52.2      -0.7    0.9999      0.03       0.1     0.626     Polar          0.00      0.00   9000.00
3150T__035_2000_095_075         69.0       0.1     131.1      -0.7      51.7      -1.8    0.9998      0.05       0.1     0.828     Polar          0.00      0.00   9000.00
3150T__035_2000_095_080         68.9       0.1     130.5      -1.2      51.1      -2.8    0.9996      0.08       0.2     1.079     Polar          0.00      0.00   9000.00
3150T__035_2000_095_085         68.9       0.0     129.9      -1.7      50.7      -3.7    0.9991      0.11       0.2     1.318     Polar          0.00      0.00   9000.00
3150T__035_2000_095_090         68.9       0.1     129.4      -2.1      50.2      -4.6    0.9985      0.13       0.3     1.630     Polar          0.00      0.00   9000.00
3150T__035_2000_095_095         69.0       0.1     128.9      -2.4      49.8      -5.3    0.9979      0.16       0.3     1.911     Polar          0.00      0.00   9000.00
3150T__035_2000_095_100         69.0       0.2     128.6      -2.7      49.5      -5.9    0.9971      0.17       0.3     2.193     Polar          0.00      0.00   9000.00
3150T__035_2000_095_105         69.0       0.2     128.3      -2.8      49.3      -6.3    0.9964      0.19       0.4     2.482     Polar          0.00      0.00   9000.00
3150T__035_2000_095_110         69.1       0.3     128.2      -3.0      49.1      -6.6    0.9958      0.20       0.4     2.746     Polar          0.00      0.00   9000.00
3150T__035_2000_095_115         69.1       0.3     128.1      -3.0      49.0      -6.9    0.9952      0.22       0.4     3.000     Polar          0.00      0.00   9000.00
3150T__035_2000_095_120         69.1       0.3     128.1      -3.0      48.8      -7.3    0.9948      0.23       0.5     3.247     Polar          0.00      0.00   9000.00
