FARFIELD COMPARISON ANALYSIS FILE

Comparison analysis performed by Nucleus+ version 2.8.0
Comparison analysis performed by Marine Source Modelling version 2.0.0

Time window for computation (ms)   : -73.00  -  327.00
Primary pick window (ms)           : -73.00  -   30.00
Bubble pick window (ms)            :  50.00  -  200.00

Frequency analysis option  : Average absolute spectral deviation
Bandwidth of analysis (Hz) :  10.00  -   70.00


         Farfield name          Peak       %ch    P-to-P       %ch       P/B       %ch    X-corr     AvgdB      MaxdB   MaxPhase   Coordinates     Dip/X     Az/Y    Dist/Z
3150T__035_2000_080             68.9       0.0     132.1       0.0      52.6       0.0    1.0000      0.00       0.0     0.000     Polar          0.00      0.00   9000.00
3150T__035_2000_075_040         68.9       0.0     132.9       0.7      56.4       7.1    0.9953      0.47       0.8     4.489     Polar          0.00      0.00   9000.00
3150T__035_2000_075_045         69.2       0.4     133.9       1.4      56.1       6.5    0.9961      0.39       0.7     3.420     Polar          0.00      0.00   9000.00
3150T__035_2000_075_050         69.3       0.6     134.5       1.9      55.9       6.3    0.9969      0.32       0.6     2.845     Polar          0.00      0.00   9000.00
3150T__035_2000_075_055         69.3       0.6     134.8       2.0      55.6       5.7    0.9977      0.26       0.4     2.414     Polar          0.00      0.00   9000.00
3150T__035_2000_075_060         69.2       0.5     134.6       2.0      55.2       4.9    0.9985      0.21       0.3     2.036     Polar          0.00      0.00   9000.00
3150T__035_2000_075_065         69.2       0.4     134.3       1.7      54.7       4.0    0.9990      0.16       0.3     1.641     Polar          0.00      0.00   9000.00
3150T__035_2000_075_070         69.1       0.3     133.9       1.4      54.2       3.1    0.9995      0.11       0.2     1.200     Polar          0.00      0.00   9000.00
3150T__035_2000_075_075         69.0       0.2     133.3       0.9      53.7       2.1    0.9998      0.07       0.1     0.783     Polar          0.00      0.00   9000.00
3150T__035_2000_075_080         68.9       0.1     132.7       0.5      53.2       1.1    0.9999      0.04       0.1     0.382     Polar          0.00      0.00   9000.00
3150T__035_2000_075_085         68.9       0.0     132.1       0.0      52.7       0.2    1.0000      0.01       0.0     0.153     Polar          0.00      0.00   9000.00
3150T__035_2000_075_090         68.9       0.0     131.5      -0.4      52.3      -0.6    1.0000      0.03       0.1     0.494     Polar          0.00      0.00   9000.00
3150T__035_2000_075_095         69.0       0.1     131.1      -0.7      51.9      -1.4    0.9998      0.05       0.1     0.895     Polar          0.00      0.00   9000.00
3150T__035_2000_075_100         69.0       0.2     130.7      -1.0      51.5      -2.0    0.9996      0.07       0.1     1.285     Polar          0.00      0.00   9000.00
3150T__035_2000_075_105         69.1       0.3     130.4      -1.2      51.3      -2.5    0.9994      0.09       0.2     1.639     Polar          0.00      0.00   9000.00
3150T__035_2000_075_110         69.1       0.3     130.3      -1.4      51.1      -2.8    0.9991      0.11       0.2     2.008     Polar          0.00      0.00   9000.00
3150T__035_2000_075_115         69.1       0.4     130.2      -1.4      51.0      -3.1    0.9988      0.12       0.2     2.350     Polar          0.00      0.00   9000.00
3150T__035_2000_075_120         69.1       0.4     130.2      -1.4      50.8      -3.4    0.9985      0.14       0.2     2.666     Polar          0.00      0.00   9000.00
