FARFIELD COMPARISON ANALYSIS FILE

Comparison analysis performed by Nucleus+ version 2.8.0
Comparison analysis performed by Marine Source Modelling version 2.0.0

Time window for computation (ms)   : -73.00  -  327.00
Primary pick window (ms)           : -73.00  -   30.00
Bubble pick window (ms)            :  50.00  -  200.00

Frequency analysis option  : Average absolute spectral deviation
Bandwidth of analysis (Hz) :  10.00  -   70.00


         Farfield name          Peak       %ch    P-to-P       %ch       P/B       %ch    X-corr     AvgdB      MaxdB   MaxPhase   Coordinates     Dip/X     Az/Y    Dist/Z
3150T__035_2000_080             68.9       0.0     132.1       0.0      52.6       0.0    1.0000      0.00       0.0     0.000     Polar          0.00      0.00   9000.00
3150T__035_2000_050_040         69.0       0.1     135.9       2.9      59.6      13.3    0.9861      0.78       1.4     6.332     Polar          0.00      0.00   9000.00
3150T__035_2000_050_045         69.2       0.5     136.3       3.2      58.9      12.0    0.9884      0.69       1.3     5.995     Polar          0.00      0.00   9000.00
3150T__035_2000_050_050         69.4       0.7     136.5       3.4      58.8      11.7    0.9907      0.62       1.2     5.536     Polar          0.00      0.00   9000.00
3150T__035_2000_050_055         69.4       0.8     136.4       3.3      58.4      11.0    0.9927      0.55       1.1     5.058     Polar          0.00      0.00   9000.00
3150T__035_2000_050_060         69.4       0.8     136.1       3.1      58.1      10.3    0.9943      0.49       1.0     4.549     Polar          0.00      0.00   9000.00
3150T__035_2000_050_065         69.4       0.7     135.6       2.7      57.7       9.6    0.9956      0.43       0.9     4.037     Polar          0.00      0.00   9000.00
3150T__035_2000_050_070         69.3       0.7     135.1       2.3      57.2       8.7    0.9964      0.38       0.8     3.480     Polar          0.00      0.00   9000.00
3150T__035_2000_050_075         69.3       0.6     134.5       1.8      56.7       7.8    0.9969      0.33       0.7     2.923     Polar          0.00      0.00   9000.00
3150T__035_2000_050_080         69.2       0.5     133.9       1.4      56.3       7.0    0.9971      0.29       0.6     2.694     Polar          0.00      0.00   9000.00
3150T__035_2000_050_085         69.2       0.4     133.4       1.0      55.9       6.3    0.9971      0.25       0.6     2.572     Polar          0.00      0.00   9000.00
3150T__035_2000_050_090         69.2       0.4     132.9       0.6      55.6       5.6    0.9969      0.22       0.5     2.460     Polar          0.00      0.00   9000.00
3150T__035_2000_050_095         69.2       0.4     132.5       0.3      55.2       5.0    0.9966      0.19       0.5     2.334     Polar          0.00      0.00   9000.00
3150T__035_2000_050_100         69.2       0.4     132.2       0.1      55.0       4.5    0.9962      0.17       0.4     2.249     Polar          0.00      0.00   9000.00
3150T__035_2000_050_105         69.2       0.5     132.0      -0.1      54.8       4.1    0.9957      0.16       0.4     2.132     Polar          0.00      0.00   9000.00
3150T__035_2000_050_110         69.2       0.5     131.8      -0.2      54.6       3.7    0.9952      0.15       0.4     2.012     Polar          0.00      0.00   9000.00
3150T__035_2000_050_115         69.3       0.6     131.7      -0.2      54.4       3.4    0.9946      0.14       0.3     2.027     Polar          0.00      0.00   9000.00
3150T__035_2000_050_120         69.3       0.6     131.7      -0.3      54.3       3.2    0.9940      0.15       0.3     2.318     Polar          0.00      0.00   9000.00
