FARFIELD COMPARISON ANALYSIS FILE

Comparison analysis performed by Nucleus+ version 2.8.0
Comparison analysis performed by Marine Source Modelling version 2.0.0

Time window for computation (ms)   : -73.00  -  327.00
Primary pick window (ms)           : -73.00  -   30.00
Bubble pick window (ms)            :  50.00  -  200.00

Frequency analysis option  : Average absolute spectral deviation
Bandwidth of analysis (Hz) :  10.00  -   70.00


         Farfield name          Peak       %ch    P-to-P       %ch       P/B       %ch    X-corr     AvgdB      MaxdB   MaxPhase   Coordinates     Dip/X     Az/Y    Dist/Z
3150T__035_2000_080             68.9       0.0     132.1       0.0      52.6       0.0    1.0000      0.00       0.0     0.000     Polar          0.00      0.00   9000.00
3150T__035_2000_120_040         68.9       0.1     130.5      -1.2      53.5       1.6    0.9890      0.22       0.5     3.829     Polar          0.00      0.00   9000.00
3150T__035_2000_120_045         69.2       0.4     131.3      -0.6      53.2       1.1    0.9916      0.15       0.4     2.558     Polar          0.00      0.00   9000.00
3150T__035_2000_120_050         69.3       0.6     131.8      -0.2      53.0       0.7    0.9941      0.10       0.4     2.407     Polar          0.00      0.00   9000.00
3150T__035_2000_120_055         69.4       0.7     132.0      -0.1      52.6      -0.0    0.9962      0.08       0.3     2.325     Polar          0.00      0.00   9000.00
3150T__035_2000_120_060         69.3       0.6     131.8      -0.2      52.1      -1.0    0.9977      0.07       0.2     2.300     Polar          0.00      0.00   9000.00
3150T__035_2000_120_065         69.3       0.6     131.4      -0.5      51.5      -2.1    0.9985      0.09       0.2     2.314     Polar          0.00      0.00   9000.00
3150T__035_2000_120_070         69.2       0.5     130.8      -0.9      51.0      -3.2    0.9987      0.11       0.3     2.357     Polar          0.00      0.00   9000.00
3150T__035_2000_120_075         69.1       0.4     130.2      -1.4      50.4      -4.2    0.9985      0.13       0.3     2.424     Polar          0.00      0.00   9000.00
3150T__035_2000_120_080         69.1       0.3     129.6      -1.9      49.9      -5.2    0.9978      0.16       0.4     2.546     Polar          0.00      0.00   9000.00
3150T__035_2000_120_085         69.1       0.3     129.0      -2.3      49.4      -6.1    0.9970      0.18       0.4     2.698     Polar          0.00      0.00   9000.00
3150T__035_2000_120_090         69.1       0.2     128.5      -2.7      49.0      -6.9    0.9959      0.21       0.5     2.879     Polar          0.00      0.00   9000.00
3150T__035_2000_120_095         69.1       0.3     128.1      -3.0      48.6      -7.6    0.9948      0.23       0.5     3.066     Polar          0.00      0.00   9000.00
3150T__035_2000_120_100         69.1       0.3     127.8      -3.3      48.3      -8.2    0.9937      0.25       0.5     3.248     Polar          0.00      0.00   9000.00
3150T__035_2000_120_105         69.1       0.4     127.5      -3.4      48.1      -8.6    0.9925      0.26       0.6     3.455     Polar          0.00      0.00   9000.00
3150T__035_2000_120_110         69.2       0.4     127.4      -3.5      47.9      -8.9    0.9915      0.28       0.6     3.650     Polar          0.00      0.00   9000.00
3150T__035_2000_120_115         69.2       0.5     127.3      -3.6      47.8      -9.2    0.9906      0.29       0.6     3.860     Polar          0.00      0.00   9000.00
3150T__035_2000_120_120         69.2       0.5     127.3      -3.6      47.6      -9.5    0.9899      0.30       0.6     4.064     Polar          0.00      0.00   9000.00
