FARFIELD COMPARISON ANALYSIS FILE

Comparison analysis performed by Nucleus+ version 2.8.0
Comparison analysis performed by Marine Source Modelling version 2.0.0

Time window for computation (ms)   : -73.00  -  327.00
Primary pick window (ms)           : -73.00  -   30.00
Bubble pick window (ms)            :  50.00  -  200.00

Frequency analysis option  : Average absolute spectral deviation
Bandwidth of analysis (Hz) :  10.00  -   70.00


         Farfield name          Peak       %ch    P-to-P       %ch       P/B       %ch    X-corr     AvgdB      MaxdB   MaxPhase   Coordinates     Dip/X     Az/Y    Dist/Z
3150T__035_2000_080             68.9       0.0     132.1       0.0      52.6       0.0    1.0000      0.00       0.0     0.000     Polar          0.00      0.00   9000.00
3150T__035_2000_065_040         69.0       0.1     134.3       1.7      57.5       9.3    0.9936      0.58       1.0     5.200     Polar          0.00      0.00   9000.00
3150T__035_2000_065_045         69.3       0.6     135.2       2.3      57.2       8.7    0.9946      0.50       0.9     4.610     Polar          0.00      0.00   9000.00
3150T__035_2000_065_050         69.4       0.8     135.7       2.7      57.0       8.3    0.9956      0.43       0.7     4.005     Polar          0.00      0.00   9000.00
3150T__035_2000_065_055         69.4       0.8     135.8       2.9      56.7       7.8    0.9965      0.36       0.6     3.504     Polar          0.00      0.00   9000.00
3150T__035_2000_065_060         69.4       0.8     135.7       2.8      56.4       7.1    0.9973      0.31       0.5     3.023     Polar          0.00      0.00   9000.00
3150T__035_2000_065_065         69.3       0.6     135.4       2.5      55.9       6.3    0.9980      0.25       0.4     2.561     Polar          0.00      0.00   9000.00
3150T__035_2000_065_070         69.2       0.5     134.9       2.1      55.5       5.4    0.9986      0.20       0.4     2.083     Polar          0.00      0.00   9000.00
3150T__035_2000_065_075         69.2       0.4     134.3       1.7      54.9       4.4    0.9991      0.16       0.3     1.614     Polar          0.00      0.00   9000.00
3150T__035_2000_065_080         69.1       0.3     133.7       1.2      54.5       3.6    0.9994      0.12       0.3     1.150     Polar          0.00      0.00   9000.00
3150T__035_2000_065_085         69.1       0.2     133.2       0.8      54.0       2.7    0.9995      0.09       0.2     0.873     Polar          0.00      0.00   9000.00
3150T__035_2000_065_090         69.0       0.2     132.6       0.4      53.6       1.9    0.9996      0.06       0.2     0.741     Polar          0.00      0.00   9000.00
3150T__035_2000_065_095         69.1       0.3     132.2       0.1      53.2       1.2    0.9996      0.05       0.1     0.628     Polar          0.00      0.00   9000.00
3150T__035_2000_065_100         69.1       0.3     131.8      -0.2      52.9       0.6    0.9995      0.04       0.1     0.883     Polar          0.00      0.00   9000.00
3150T__035_2000_065_105         69.2       0.4     131.5      -0.4      52.7       0.1    0.9994      0.05       0.1     1.272     Polar          0.00      0.00   9000.00
3150T__035_2000_065_110         69.2       0.5     131.4      -0.5      52.5      -0.2    0.9991      0.06       0.2     1.683     Polar          0.00      0.00   9000.00
3150T__035_2000_065_115         69.3       0.5     131.3      -0.6      52.3      -0.5    0.9988      0.07       0.2     2.071     Polar          0.00      0.00   9000.00
3150T__035_2000_065_120         69.3       0.6     131.3      -0.6      52.2      -0.8    0.9985      0.09       0.2     2.447     Polar          0.00      0.00   9000.00
