FARFIELD COMPARISON ANALYSIS FILE

Comparison analysis performed by Nucleus+ version 2.8.0
Comparison analysis performed by Marine Source Modelling version 2.0.0

Time window for computation (ms)   : -73.00  -  327.00
Primary pick window (ms)           : -73.00  -   30.00
Bubble pick window (ms)            :  50.00  -  200.00

Frequency analysis option  : Average absolute spectral deviation
Bandwidth of analysis (Hz) :  10.00  -   70.00


         Farfield name          Peak       %ch    P-to-P       %ch       P/B       %ch    X-corr     AvgdB      MaxdB   MaxPhase   Coordinates     Dip/X     Az/Y    Dist/Z
3150T__035_2000_080             68.9       0.0     132.1       0.0      52.6       0.0    1.0000      0.00       0.0     0.000     Polar          0.00      0.00   9000.00
3150T__035_2000_110_040         68.9       0.0     130.5      -1.2      53.8       2.3    0.9908      0.25       0.6     3.921     Polar          0.00      0.00   9000.00
3150T__035_2000_110_045         69.1       0.4     131.4      -0.5      53.6       1.8    0.9930      0.18       0.4     2.636     Polar          0.00      0.00   9000.00
3150T__035_2000_110_050         69.3       0.6     131.9      -0.1      53.4       1.6    0.9952      0.12       0.3     1.619     Polar          0.00      0.00   9000.00
3150T__035_2000_110_055         69.3       0.6     132.1      -0.0      53.0       0.7    0.9971      0.08       0.2     1.553     Polar          0.00      0.00   9000.00
3150T__035_2000_110_060         69.3       0.6     131.9      -0.1      52.5      -0.3    0.9984      0.05       0.2     1.565     Polar          0.00      0.00   9000.00
3150T__035_2000_110_065         69.2       0.5     131.4      -0.5      51.9      -1.4    0.9992      0.06       0.2     1.641     Polar          0.00      0.00   9000.00
3150T__035_2000_110_070         69.2       0.4     130.9      -0.9      51.3      -2.5    0.9993      0.08       0.2     1.732     Polar          0.00      0.00   9000.00
3150T__035_2000_110_075         69.1       0.3     130.3      -1.3      50.8      -3.5    0.9991      0.11       0.3     1.871     Polar          0.00      0.00   9000.00
3150T__035_2000_110_080         69.1       0.3     129.7      -1.8      50.2      -4.6    0.9985      0.14       0.3     2.027     Polar          0.00      0.00   9000.00
3150T__035_2000_110_085         69.0       0.2     129.1      -2.2      49.8      -5.4    0.9977      0.16       0.4     2.181     Polar          0.00      0.00   9000.00
3150T__035_2000_110_090         69.0       0.2     128.6      -2.6      49.3      -6.3    0.9968      0.18       0.4     2.399     Polar          0.00      0.00   9000.00
3150T__035_2000_110_095         69.1       0.2     128.2      -3.0      49.0      -6.9    0.9958      0.21       0.4     2.624     Polar          0.00      0.00   9000.00
3150T__035_2000_110_100         69.1       0.3     127.8      -3.2      48.7      -7.5    0.9947      0.22       0.5     2.835     Polar          0.00      0.00   9000.00
3150T__035_2000_110_105         69.1       0.3     127.6      -3.4      48.5      -7.9    0.9937      0.24       0.5     3.064     Polar          0.00      0.00   9000.00
3150T__035_2000_110_110         69.1       0.4     127.5      -3.5      48.3      -8.2    0.9928      0.25       0.5     3.279     Polar          0.00      0.00   9000.00
3150T__035_2000_110_115         69.2       0.4     127.4      -3.5      48.1      -8.6    0.9920      0.27       0.6     3.496     Polar          0.00      0.00   9000.00
3150T__035_2000_110_120         69.2       0.4     127.4      -3.5      47.9      -8.9    0.9915      0.28       0.6     3.691     Polar          0.00      0.00   9000.00
