FARFIELD COMPARISON ANALYSIS FILE

Comparison analysis performed by Nucleus+ version 2.8.0
Comparison analysis performed by Marine Source Modelling version 2.0.0

Time window for computation (ms)   : -73.00  -  327.00
Primary pick window (ms)           : -73.00  -   30.00
Bubble pick window (ms)            :  50.00  -  200.00

Frequency analysis option  : Average absolute spectral deviation
Bandwidth of analysis (Hz) :  10.00  -   70.00


         Farfield name          Peak       %ch    P-to-P       %ch       P/B       %ch    X-corr     AvgdB      MaxdB   MaxPhase   Coordinates     Dip/X     Az/Y    Dist/Z
3150T__035_2000_080             68.9       0.0     132.1       0.0      52.6       0.0    1.0000      0.00       0.0     0.000     Polar          0.00      0.00   9000.00
3150T__035_2000_090_040         68.9      -0.0     131.4      -0.5      54.8       4.2    0.9943      0.35       0.7     4.135     Polar          0.00      0.00   9000.00
3150T__035_2000_090_045         69.1       0.3     132.4       0.2      54.7       3.9    0.9956      0.27       0.5     2.875     Polar          0.00      0.00   9000.00
3150T__035_2000_090_050         69.2       0.4     133.0       0.7      54.6       3.7    0.9969      0.21       0.4     1.857     Polar          0.00      0.00   9000.00
3150T__035_2000_090_055         69.2       0.4     133.2       0.8      54.1       2.9    0.9981      0.15       0.3     1.292     Polar          0.00      0.00   9000.00
3150T__035_2000_090_060         69.1       0.3     133.0       0.7      53.7       2.0    0.9990      0.10       0.2     0.848     Polar          0.00      0.00   9000.00
3150T__035_2000_090_065         69.1       0.2     132.7       0.5      53.2       1.1    0.9996      0.06       0.1     0.489     Polar          0.00      0.00   9000.00
3150T__035_2000_090_070         69.0       0.1     132.2       0.1      52.6       0.0    0.9999      0.02       0.1     0.325     Polar          0.00      0.00   9000.00
3150T__035_2000_090_075         68.9       0.0     131.6      -0.4      52.1      -1.0    1.0000      0.03       0.1     0.462     Polar          0.00      0.00   9000.00
3150T__035_2000_090_080         68.9      -0.0     130.9      -0.9      51.5      -2.1    0.9998      0.06       0.1     0.731     Polar          0.00      0.00   9000.00
3150T__035_2000_090_085         68.9      -0.0     130.3      -1.3      51.0      -3.0    0.9995      0.09       0.2     1.023     Polar          0.00      0.00   9000.00
3150T__035_2000_090_090         68.9       0.0     129.8      -1.7      50.6      -3.8    0.9990      0.11       0.2     1.346     Polar          0.00      0.00   9000.00
3150T__035_2000_090_095         68.9       0.1     129.4      -2.1      50.2      -4.6    0.9985      0.13       0.3     1.672     Polar          0.00      0.00   9000.00
3150T__035_2000_090_100         69.0       0.1     129.0      -2.3      49.9      -5.2    0.9979      0.15       0.3     1.968     Polar          0.00      0.00   9000.00
3150T__035_2000_090_105         69.0       0.2     128.7      -2.5      49.7      -5.5    0.9974      0.17       0.3     2.271     Polar          0.00      0.00   9000.00
3150T__035_2000_090_110         69.0       0.2     128.6      -2.6      49.5      -5.8    0.9968      0.18       0.4     2.575     Polar          0.00      0.00   9000.00
3150T__035_2000_090_115         69.1       0.3     128.5      -2.7      49.4      -6.2    0.9963      0.20       0.4     2.855     Polar          0.00      0.00   9000.00
3150T__035_2000_090_120         69.1       0.2     128.5      -2.7      49.2      -6.5    0.9959      0.21       0.4     3.103     Polar          0.00      0.00   9000.00
