FARFIELD COMPARISON ANALYSIS FILE

Comparison analysis performed by Nucleus+ version 2.8.0
Comparison analysis performed by Marine Source Modelling version 2.0.0

Time window for computation (ms)   : -73.00  -  327.00
Primary pick window (ms)           : -73.00  -   30.00
Bubble pick window (ms)            :  50.00  -  200.00

Frequency analysis option  : Average absolute spectral deviation
Bandwidth of analysis (Hz) :  10.00  -   70.00


         Farfield name          Peak       %ch    P-to-P       %ch       P/B       %ch    X-corr     AvgdB      MaxdB   MaxPhase   Coordinates     Dip/X     Az/Y    Dist/Z
3150T__035_2000_080             68.9       0.0     132.1       0.0      52.6       0.0    1.0000      0.00       0.0     0.000     Polar          0.00      0.00   9000.00
3150T__035_2000_060_040         69.0       0.2     135.0       2.2      58.1      10.4    0.9918      0.64       1.1     5.670     Polar          0.00      0.00   9000.00
3150T__035_2000_060_045         69.3       0.6     135.7       2.7      57.7       9.7    0.9930      0.56       1.0     5.117     Polar          0.00      0.00   9000.00
3150T__035_2000_060_050         69.4       0.8     136.1       3.1      57.6       9.4    0.9943      0.49       0.9     4.561     Polar          0.00      0.00   9000.00
3150T__035_2000_060_055         69.5       0.9     136.2       3.1      57.3       8.8    0.9955      0.42       0.7     4.025     Polar          0.00      0.00   9000.00
3150T__035_2000_060_060         69.5       0.8     136.1       3.0      56.9       8.1    0.9965      0.36       0.6     3.535     Polar          0.00      0.00   9000.00
3150T__035_2000_060_065         69.4       0.7     135.7       2.7      56.5       7.4    0.9973      0.30       0.6     3.030     Polar          0.00      0.00   9000.00
3150T__035_2000_060_070         69.3       0.6     135.2       2.4      56.1       6.5    0.9980      0.25       0.5     2.528     Polar          0.00      0.00   9000.00
3150T__035_2000_060_075         69.2       0.5     134.6       1.9      55.6       5.6    0.9985      0.21       0.4     2.027     Polar          0.00      0.00   9000.00
3150T__035_2000_060_080         69.2       0.4     134.0       1.5      55.1       4.8    0.9988      0.17       0.4     1.513     Polar          0.00      0.00   9000.00
3150T__035_2000_060_085         69.1       0.4     133.5       1.1      54.7       4.0    0.9990      0.14       0.3     1.338     Polar          0.00      0.00   9000.00
3150T__035_2000_060_090         69.1       0.3     133.0       0.7      54.3       3.2    0.9990      0.11       0.3     1.216     Polar          0.00      0.00   9000.00
3150T__035_2000_060_095         69.1       0.4     132.5       0.4      54.0       2.6    0.9990      0.09       0.2     1.091     Polar          0.00      0.00   9000.00
3150T__035_2000_060_100         69.2       0.4     132.2       0.1      53.6       1.9    0.9989      0.07       0.2     0.977     Polar          0.00      0.00   9000.00
3150T__035_2000_060_105         69.2       0.5     132.0      -0.1      53.4       1.5    0.9987      0.07       0.1     1.215     Polar          0.00      0.00   9000.00
3150T__035_2000_060_110         69.3       0.5     131.8      -0.2      53.2       1.2    0.9984      0.07       0.1     1.521     Polar          0.00      0.00   9000.00
3150T__035_2000_060_115         69.3       0.6     131.7      -0.3      53.1       0.9    0.9980      0.07       0.2     1.953     Polar          0.00      0.00   9000.00
3150T__035_2000_060_120         69.3       0.6     131.7      -0.3      52.9       0.6    0.9976      0.08       0.2     2.348     Polar          0.00      0.00   9000.00
