FARFIELD COMPARISON ANALYSIS FILE

Comparison analysis performed by Nucleus+ version 2.8.0
Comparison analysis performed by Marine Source Modelling version 2.0.0

Time window for computation (ms)   : -73.00  -  327.00
Primary pick window (ms)           : -73.00  -   30.00
Bubble pick window (ms)            :  50.00  -  200.00

Frequency analysis option  : Average absolute spectral deviation
Bandwidth of analysis (Hz) :  10.00  -   70.00


         Farfield name          Peak       %ch    P-to-P       %ch       P/B       %ch    X-corr     AvgdB      MaxdB   MaxPhase   Coordinates     Dip/X     Az/Y    Dist/Z
3150T__035_2000_080             68.9       0.0     132.1       0.0      52.6       0.0    1.0000      0.00       0.0     0.000     Polar          0.00      0.00   9000.00
3150T__035_2000_105_040         68.9       0.0     130.6      -1.1      54.0       2.6    0.9917      0.26       0.6     3.957     Polar          0.00      0.00   9000.00
3150T__035_2000_105_045         69.1       0.3     131.5      -0.4      53.8       2.2    0.9937      0.19       0.4     2.680     Polar          0.00      0.00   9000.00
3150T__035_2000_105_050         69.2       0.5     132.1      -0.0      53.7       2.0    0.9957      0.13       0.3     1.679     Polar          0.00      0.00   9000.00
3150T__035_2000_105_055         69.3       0.5     132.2       0.1      53.2       1.1    0.9975      0.08       0.2     1.100     Polar          0.00      0.00   9000.00
3150T__035_2000_105_060         69.2       0.5     132.0      -0.0      52.7       0.2    0.9987      0.05       0.2     1.183     Polar          0.00      0.00   9000.00
3150T__035_2000_105_065         69.2       0.4     131.6      -0.4      52.1      -0.9    0.9994      0.04       0.1     1.267     Polar          0.00      0.00   9000.00
3150T__035_2000_105_070         69.1       0.3     131.1      -0.8      51.6      -2.0    0.9996      0.06       0.2     1.407     Polar          0.00      0.00   9000.00
3150T__035_2000_105_075         69.1       0.3     130.5      -1.2      51.0      -3.1    0.9994      0.09       0.2     1.545     Polar          0.00      0.00   9000.00
3150T__035_2000_105_080         69.0       0.2     129.8      -1.7      50.5      -4.1    0.9989      0.12       0.3     1.736     Polar          0.00      0.00   9000.00
3150T__035_2000_105_085         69.0       0.2     129.3      -2.1      50.0      -5.0    0.9982      0.15       0.3     1.919     Polar          0.00      0.00   9000.00
3150T__035_2000_105_090         69.0       0.2     128.7      -2.5      49.6      -5.8    0.9974      0.17       0.4     2.155     Polar          0.00      0.00   9000.00
3150T__035_2000_105_095         69.0       0.2     128.3      -2.8      49.2      -6.5    0.9964      0.19       0.4     2.403     Polar          0.00      0.00   9000.00
3150T__035_2000_105_100         69.1       0.3     128.0      -3.1      48.9      -7.1    0.9955      0.21       0.4     2.634     Polar          0.00      0.00   9000.00
3150T__035_2000_105_105         69.1       0.3     127.7      -3.3      48.7      -7.5    0.9946      0.23       0.5     2.878     Polar          0.00      0.00   9000.00
3150T__035_2000_105_110         69.1       0.3     127.6      -3.4      48.5      -7.8    0.9937      0.24       0.5     3.104     Polar          0.00      0.00   9000.00
3150T__035_2000_105_115         69.1       0.4     127.5      -3.4      48.3      -8.2    0.9930      0.25       0.5     3.329     Polar          0.00      0.00   9000.00
3150T__035_2000_105_120         69.1       0.4     127.5      -3.4      48.2      -8.5    0.9925      0.26       0.5     3.544     Polar          0.00      0.00   9000.00
