FARFIELD COMPARISON ANALYSIS FILE

Comparison analysis performed by Nucleus+ version 2.8.0
Comparison analysis performed by Marine Source Modelling version 2.0.0

Time window for computation (ms)   : -73.00  -  327.00
Primary pick window (ms)           : -73.00  -   30.00
Bubble pick window (ms)            :  50.00  -  200.00

Frequency analysis option  : Average absolute spectral deviation
Bandwidth of analysis (Hz) :  10.00  -   70.00


         Farfield name          Peak       %ch    P-to-P       %ch       P/B       %ch    X-corr     AvgdB      MaxdB   MaxPhase   Coordinates     Dip/X     Az/Y    Dist/Z
3150T__035_2000_080             68.9       0.0     132.1       0.0      52.6       0.0    1.0000      0.00       0.0     0.000     Polar          0.00      0.00   9000.00
3150T__035_2000_040_040         68.6      -0.4     135.5       2.6      60.6      15.2    0.9785      0.94       1.7     6.887     Polar          0.00      0.00   9000.00
3150T__035_2000_040_045         68.8      -0.1     135.9       2.9      59.7      13.5    0.9824      0.86       1.7     6.390     Polar          0.00      0.00   9000.00
3150T__035_2000_040_050         68.9       0.1     135.8       2.8      59.2      12.5    0.9860      0.78       1.6     6.214     Polar          0.00      0.00   9000.00
3150T__035_2000_040_055         69.0       0.1     135.5       2.6      58.9      12.0    0.9892      0.71       1.5     5.942     Polar          0.00      0.00   9000.00
3150T__035_2000_040_060         69.0       0.1     134.9       2.2      58.6      11.4    0.9918      0.65       1.4     5.582     Polar          0.00      0.00   9000.00
3150T__035_2000_040_065         69.0       0.1     134.2       1.6      58.4      10.9    0.9936      0.59       1.3     5.153     Polar          0.00      0.00   9000.00
3150T__035_2000_040_070         68.9       0.0     133.5       1.1      58.2      10.6    0.9948      0.53       1.2     4.648     Polar          0.00      0.00   9000.00
3150T__035_2000_040_075         68.9      -0.0     132.8       0.6      57.7       9.6    0.9953      0.48       1.1     4.233     Polar          0.00      0.00   9000.00
3150T__035_2000_040_080         68.9      -0.1     132.2       0.1      57.3       8.9    0.9953      0.44       1.1     4.150     Polar          0.00      0.00   9000.00
3150T__035_2000_040_085         68.8      -0.1     131.7      -0.3      57.0       8.3    0.9949      0.40       1.0     4.073     Polar          0.00      0.00   9000.00
3150T__035_2000_040_090         68.8      -0.1     131.2      -0.6      56.8       7.9    0.9942      0.37       0.9     4.007     Polar          0.00      0.00   9000.00
3150T__035_2000_040_095         68.8      -0.1     130.9      -0.9      56.4       7.1    0.9934      0.34       0.9     3.949     Polar          0.00      0.00   9000.00
3150T__035_2000_040_100         68.8      -0.1     130.7      -1.1      56.1       6.7    0.9925      0.32       0.8     3.886     Polar          0.00      0.00   9000.00
3150T__035_2000_040_105         68.9      -0.0     130.5      -1.2      56.0       6.5    0.9916      0.30       0.8     3.807     Polar          0.00      0.00   9000.00
3150T__035_2000_040_110         68.9      -0.0     130.4      -1.3      55.9       6.2    0.9906      0.28       0.8     3.727     Polar          0.00      0.00   9000.00
3150T__035_2000_040_115         68.9       0.0     130.3      -1.3      55.8       6.0    0.9897      0.27       0.8     3.655     Polar          0.00      0.00   9000.00
3150T__035_2000_040_120         68.9       0.0     130.3      -1.3      55.5       5.5    0.9889      0.27       0.7     3.581     Polar          0.00      0.00   9000.00
