FARFIELD COMPARISON ANALYSIS FILE

Comparison analysis performed by Nucleus+ version 2.8.0
Comparison analysis performed by Marine Source Modelling version 2.0.0

Time window for computation (ms)   : -73.00  -  327.00
Primary pick window (ms)           : -73.00  -   30.00
Bubble pick window (ms)            :  50.00  -  200.00

Frequency analysis option  : Average absolute spectral deviation
Bandwidth of analysis (Hz) :  10.00  -   70.00


         Farfield name          Peak       %ch    P-to-P       %ch       P/B       %ch    X-corr     AvgdB      MaxdB   MaxPhase   Coordinates     Dip/X     Az/Y    Dist/Z
3150T__035_2000_080             68.9       0.0     132.1       0.0      52.6       0.0    1.0000      0.00       0.0     0.000     Polar          0.00      0.00   9000.00
3150T__035_2000_070_040         68.9       0.1     133.6       1.2      56.9       8.2    0.9948      0.53       0.9     4.675     Polar          0.00      0.00   9000.00
3150T__035_2000_070_045         69.2       0.5     134.6       1.9      56.6       7.6    0.9956      0.45       0.8     4.026     Polar          0.00      0.00   9000.00
3150T__035_2000_070_050         69.4       0.7     135.1       2.3      56.5       7.3    0.9964      0.37       0.6     3.439     Polar          0.00      0.00   9000.00
3150T__035_2000_070_055         69.4       0.7     135.3       2.5      56.2       6.7    0.9972      0.31       0.5     2.950     Polar          0.00      0.00   9000.00
3150T__035_2000_070_060         69.3       0.6     135.2       2.4      55.8       6.1    0.9980      0.25       0.4     2.508     Polar          0.00      0.00   9000.00
3150T__035_2000_070_065         69.2       0.5     134.9       2.1      55.3       5.1    0.9986      0.20       0.3     2.074     Polar          0.00      0.00   9000.00
3150T__035_2000_070_070         69.2       0.4     134.4       1.8      54.9       4.3    0.9991      0.16       0.3     1.634     Polar          0.00      0.00   9000.00
3150T__035_2000_070_075         69.1       0.3     133.8       1.3      54.4       3.3    0.9995      0.11       0.2     1.193     Polar          0.00      0.00   9000.00
3150T__035_2000_070_080         69.0       0.2     133.3       0.9      53.9       2.4    0.9997      0.08       0.2     0.778     Polar          0.00      0.00   9000.00
3150T__035_2000_070_085         69.0       0.1     132.7       0.5      53.4       1.4    0.9999      0.04       0.1     0.494     Polar          0.00      0.00   9000.00
3150T__035_2000_070_090         69.0       0.1     132.2       0.1      53.0       0.6    0.9999      0.03       0.1     0.353     Polar          0.00      0.00   9000.00
3150T__035_2000_070_095         69.0       0.2     131.7      -0.3      52.5      -0.2    0.9999      0.03       0.1     0.671     Polar          0.00      0.00   9000.00
3150T__035_2000_070_100         69.1       0.2     131.3      -0.6      52.2      -0.8    0.9998      0.04       0.1     1.057     Polar          0.00      0.00   9000.00
3150T__035_2000_070_105         69.1       0.3     131.0      -0.8      52.0      -1.2    0.9996      0.06       0.2     1.469     Polar          0.00      0.00   9000.00
3150T__035_2000_070_110         69.2       0.4     130.9      -0.9      51.8      -1.6    0.9993      0.08       0.2     1.850     Polar          0.00      0.00   9000.00
3150T__035_2000_070_115         69.2       0.4     130.8      -1.0      51.7      -1.8    0.9990      0.10       0.2     2.206     Polar          0.00      0.00   9000.00
3150T__035_2000_070_120         69.2       0.5     130.8      -1.0      51.5      -2.2    0.9987      0.11       0.2     2.548     Polar          0.00      0.00   9000.00
