FARFIELD COMPARISON ANALYSIS FILE

Comparison analysis performed by Nucleus+ version 2.8.0
Comparison analysis performed by Marine Source Modelling version 2.0.0

Time window for computation (ms)   : -73.00  -  327.00
Primary pick window (ms)           : -73.00  -   30.00
Bubble pick window (ms)            :  50.00  -  200.00

Frequency analysis option  : Average absolute spectral deviation
Bandwidth of analysis (Hz) :  10.00  -   70.00


         Farfield name          Peak       %ch    P-to-P       %ch       P/B       %ch    X-corr     AvgdB      MaxdB   MaxPhase   Coordinates     Dip/X     Az/Y    Dist/Z
3150T__035_2000_080             68.9       0.0     132.1       0.0      52.6       0.0    1.0000      0.00       0.0     0.000     Polar          0.00      0.00   9000.00
3150T__035_2000_100_040         68.9      -0.0     130.8      -1.0      54.2       3.1    0.9926      0.29       0.6     3.963     Polar          0.00      0.00   9000.00
3150T__035_2000_100_045         69.1       0.3     131.7      -0.3      54.0       2.5    0.9944      0.22       0.4     2.711     Polar          0.00      0.00   9000.00
3150T__035_2000_100_050         69.2       0.5     132.3       0.2      53.9       2.4    0.9962      0.15       0.3     1.703     Polar          0.00      0.00   9000.00
3150T__035_2000_100_055         69.2       0.5     132.4       0.3      53.5       1.6    0.9978      0.10       0.2     1.134     Polar          0.00      0.00   9000.00
3150T__035_2000_100_060         69.2       0.4     132.3       0.2      53.0       0.7    0.9989      0.06       0.1     0.758     Polar          0.00      0.00   9000.00
3150T__035_2000_100_065         69.1       0.3     131.9      -0.2      52.4      -0.4    0.9996      0.03       0.1     0.856     Polar          0.00      0.00   9000.00
3150T__035_2000_100_070         69.1       0.2     131.4      -0.5      51.9      -1.4    0.9998      0.04       0.1     1.000     Polar          0.00      0.00   9000.00
3150T__035_2000_100_075         69.0       0.2     130.7      -1.0      51.3      -2.5    0.9997      0.07       0.2     1.211     Polar          0.00      0.00   9000.00
3150T__035_2000_100_080         69.0       0.1     130.1      -1.5      50.8      -3.5    0.9993      0.10       0.2     1.435     Polar          0.00      0.00   9000.00
3150T__035_2000_100_085         69.0       0.1     129.5      -1.9      50.3      -4.4    0.9987      0.13       0.3     1.626     Polar          0.00      0.00   9000.00
3150T__035_2000_100_090         69.0       0.1     129.0      -2.3      49.8      -5.3    0.9979      0.15       0.3     1.902     Polar          0.00      0.00   9000.00
3150T__035_2000_100_095         69.0       0.2     128.6      -2.7      49.5      -6.0    0.9971      0.17       0.3     2.158     Polar          0.00      0.00   9000.00
3150T__035_2000_100_100         69.0       0.2     128.2      -2.9      49.2      -6.6    0.9963      0.19       0.4     2.422     Polar          0.00      0.00   9000.00
3150T__035_2000_100_105         69.1       0.3     128.0      -3.1      48.9      -7.0    0.9955      0.21       0.4     2.682     Polar          0.00      0.00   9000.00
3150T__035_2000_100_110         69.1       0.3     127.8      -3.2      48.7      -7.4    0.9947      0.22       0.5     2.928     Polar          0.00      0.00   9000.00
3150T__035_2000_100_115         69.1       0.3     127.8      -3.3      48.6      -7.7    0.9941      0.24       0.5     3.171     Polar          0.00      0.00   9000.00
3150T__035_2000_100_120         69.1       0.3     127.8      -3.3      48.4      -8.0    0.9937      0.25       0.5     3.394     Polar          0.00      0.00   9000.00
