FARFIELD COMPARISON ANALYSIS FILE

Comparison analysis performed by Nucleus+ version 2.8.0
Comparison analysis performed by Marine Source Modelling version 2.0.0

Time window for computation (ms)   : -73.00  -  327.00
Primary pick window (ms)           : -73.00  -   30.00
Bubble pick window (ms)            :  50.00  -  200.00

Frequency analysis option  : Average absolute spectral deviation
Bandwidth of analysis (Hz) :  10.00  -   70.00


         Farfield name          Peak       %ch    P-to-P       %ch       P/B       %ch    X-corr     AvgdB      MaxdB   MaxPhase   Coordinates     Dip/X     Az/Y    Dist/Z
3150T__035_2000_080             68.9       0.0     132.1       0.0      52.6       0.0    1.0000      0.00       0.0     0.000     Polar          0.00      0.00   9000.00
3150T__035_2000_045_040         68.8      -0.1     135.9       2.9      59.9      13.8    0.9824      0.86       1.6     6.469     Polar          0.00      0.00   9000.00
3150T__035_2000_045_045         69.1       0.3     136.3       3.2      59.2      12.6    0.9855      0.77       1.5     6.283     Polar          0.00      0.00   9000.00
3150T__035_2000_045_050         69.2       0.5     136.3       3.2      58.8      11.7    0.9884      0.70       1.4     5.942     Polar          0.00      0.00   9000.00
3150T__035_2000_045_055         69.3       0.6     136.1       3.0      58.4      11.0    0.9910      0.63       1.3     5.528     Polar          0.00      0.00   9000.00
3150T__035_2000_045_060         69.3       0.6     135.7       2.7      58.6      11.3    0.9930      0.56       1.2     5.068     Polar          0.00      0.00   9000.00
3150T__035_2000_045_065         69.2       0.5     135.1       2.3      58.2      10.6    0.9946      0.50       1.1     4.564     Polar          0.00      0.00   9000.00
3150T__035_2000_045_070         69.2       0.5     134.5       1.8      57.8       9.8    0.9956      0.45       1.0     4.021     Polar          0.00      0.00   9000.00
3150T__035_2000_045_075         69.2       0.4     133.9       1.4      57.3       8.9    0.9961      0.40       0.9     3.603     Polar          0.00      0.00   9000.00
3150T__035_2000_045_080         69.1       0.3     133.3       0.9      56.8       8.0    0.9961      0.36       0.8     3.493     Polar          0.00      0.00   9000.00
3150T__035_2000_045_085         69.1       0.3     132.7       0.5      56.4       7.2    0.9959      0.32       0.8     3.372     Polar          0.00      0.00   9000.00
3150T__035_2000_045_090         69.1       0.3     132.3       0.2      56.1       6.6    0.9955      0.29       0.7     3.308     Polar          0.00      0.00   9000.00
3150T__035_2000_045_095         69.1       0.3     131.9      -0.1      55.7       5.9    0.9950      0.26       0.7     3.192     Polar          0.00      0.00   9000.00
3150T__035_2000_045_100         69.1       0.3     131.6      -0.3      55.4       5.4    0.9943      0.24       0.6     3.104     Polar          0.00      0.00   9000.00
3150T__035_2000_045_105         69.1       0.3     131.4      -0.5      55.3       5.1    0.9936      0.22       0.6     3.014     Polar          0.00      0.00   9000.00
3150T__035_2000_045_110         69.1       0.3     131.3      -0.6      55.1       4.8    0.9929      0.21       0.5     2.909     Polar          0.00      0.00   9000.00
3150T__035_2000_045_115         69.2       0.4     131.2      -0.6      55.0       4.5    0.9922      0.20       0.5     2.817     Polar          0.00      0.00   9000.00
3150T__035_2000_045_120         69.2       0.4     131.2      -0.6      54.9       4.3    0.9915      0.20       0.5     2.790     Polar          0.00      0.00   9000.00
