FARFIELD COMPARISON ANALYSIS FILE

Comparison analysis performed by Nucleus+ version 2.8.0
Comparison analysis performed by Marine Source Modelling version 2.0.0

Time window for computation (ms)   : -73.00  -  327.00
Primary pick window (ms)           : -73.00  -   30.00
Bubble pick window (ms)            :  50.00  -  200.00

Frequency analysis option  : Average absolute spectral deviation
Bandwidth of analysis (Hz) :  10.00  -   70.00


         Farfield name          Peak       %ch    P-to-P       %ch       P/B       %ch    X-corr     AvgdB      MaxdB   MaxPhase   Coordinates     Dip/X     Az/Y    Dist/Z
3150T__035_2000_080             68.9       0.0     132.1       0.0      52.6       0.0    1.0000      0.00       0.0     0.000     Polar          0.00      0.00   9000.00
3150T__035_2000_080_040         68.9      -0.0     132.3       0.2      55.8       6.0    0.9953      0.43       0.8     4.358     Polar          0.00      0.00   9000.00
3150T__035_2000_080_045         69.1       0.4     133.3       1.0      55.5       5.5    0.9961      0.35       0.6     3.080     Polar          0.00      0.00   9000.00
3150T__035_2000_080_050         69.2       0.5     134.0       1.4      55.4       5.3    0.9971      0.28       0.5     2.323     Polar          0.00      0.00   9000.00
3150T__035_2000_080_055         69.2       0.5     134.2       1.6      55.1       4.7    0.9980      0.22       0.4     1.995     Polar          0.00      0.00   9000.00
3150T__035_2000_080_060         69.2       0.4     134.1       1.5      54.7       3.9    0.9988      0.17       0.3     1.630     Polar          0.00      0.00   9000.00
3150T__035_2000_080_065         69.1       0.3     133.7       1.3      54.2       3.0    0.9993      0.12       0.2     1.240     Polar          0.00      0.00   9000.00
3150T__035_2000_080_070         69.0       0.2     133.3       0.9      53.7       2.0    0.9997      0.08       0.1     0.831     Polar          0.00      0.00   9000.00
3150T__035_2000_080_075         68.9       0.1     132.7       0.5      53.1       1.0    0.9999      0.04       0.1     0.422     Polar          0.00      0.00   9000.00
3150T__035_2000_080_080         68.9       0.0     132.1       0.0      52.6       0.0    1.0000      0.00       0.0     0.000     Polar          0.00      0.00   9000.00
3150T__035_2000_080_085         68.9      -0.0     131.5      -0.5      52.1      -1.0    0.9999      0.03       0.1     0.400     Polar          0.00      0.00   9000.00
3150T__035_2000_080_090         68.9      -0.0     130.9      -0.9      51.7      -1.8    0.9998      0.06       0.1     0.769     Polar          0.00      0.00   9000.00
3150T__035_2000_080_095         68.9       0.1     130.5      -1.2      51.3      -2.5    0.9996      0.08       0.1     1.153     Polar          0.00      0.00   9000.00
3150T__035_2000_080_100         69.0       0.1     130.1      -1.5      50.9      -3.2    0.9993      0.10       0.2     1.504     Polar          0.00      0.00   9000.00
3150T__035_2000_080_105         69.0       0.2     129.8      -1.7      50.7      -3.6    0.9989      0.12       0.2     1.856     Polar          0.00      0.00   9000.00
3150T__035_2000_080_110         69.1       0.3     129.7      -1.8      50.6      -3.9    0.9985      0.14       0.3     2.203     Polar          0.00      0.00   9000.00
3150T__035_2000_080_115         69.1       0.3     129.6      -1.9      50.4      -4.3    0.9981      0.15       0.3     2.516     Polar          0.00      0.00   9000.00
3150T__035_2000_080_120         69.1       0.3     129.6      -1.9      50.2      -4.6    0.9978      0.16       0.3     2.825     Polar          0.00      0.00   9000.00
