FARFIELD COMPARISON ANALYSIS FILE

Comparison analysis performed by Nucleus+ version 2.8.0
Comparison analysis performed by Marine Source Modelling version 2.0.0

Time window for computation (ms)   : -73.00  -  327.00
Primary pick window (ms)           : -73.00  -   30.00
Bubble pick window (ms)            :  50.00  -  200.00

Frequency analysis option  : Average absolute spectral deviation
Bandwidth of analysis (Hz) :  10.00  -   70.00


         Farfield name          Peak       %ch    P-to-P       %ch       P/B       %ch    X-corr     AvgdB      MaxdB   MaxPhase   Coordinates     Dip/X     Az/Y    Dist/Z
3150T__035_2000_080             68.9       0.0     132.1       0.0      52.6       0.0    1.0000      0.00       0.0     0.000     Polar          0.00      0.00   9000.00
3150T__035_2000_085_040         68.9      -0.0     131.8      -0.2      55.3       5.1    0.9950      0.39       0.7     4.234     Polar          0.00      0.00   9000.00
3150T__035_2000_085_045         69.1       0.3     132.8       0.6      55.1       4.7    0.9960      0.31       0.5     2.953     Polar          0.00      0.00   9000.00
3150T__035_2000_085_050         69.2       0.5     133.5       1.0      54.9       4.4    0.9971      0.24       0.4     1.954     Polar          0.00      0.00   9000.00
3150T__035_2000_085_055         69.2       0.5     133.7       1.2      54.6       3.7    0.9981      0.18       0.3     1.586     Polar          0.00      0.00   9000.00
3150T__035_2000_085_060         69.1       0.4     133.5       1.1      54.2       2.9    0.9990      0.13       0.2     1.236     Polar          0.00      0.00   9000.00
3150T__035_2000_085_065         69.1       0.3     133.2       0.9      53.7       2.0    0.9995      0.09       0.2     0.874     Polar          0.00      0.00   9000.00
3150T__035_2000_085_070         69.0       0.1     132.7       0.5      53.1       1.0    0.9999      0.04       0.1     0.475     Polar          0.00      0.00   9000.00
3150T__035_2000_085_075         68.9       0.0     132.1       0.0      52.6      -0.0    1.0000      0.01       0.0     0.145     Polar          0.00      0.00   9000.00
3150T__035_2000_085_080         68.9      -0.0     131.5      -0.4      52.0      -1.1    0.9999      0.03       0.1     0.376     Polar          0.00      0.00   9000.00
3150T__035_2000_085_085         68.9      -0.0     130.9      -0.9      51.5      -2.1    0.9998      0.06       0.1     0.705     Polar          0.00      0.00   9000.00
3150T__035_2000_085_090         68.9      -0.0     130.3      -1.3      51.1      -2.8    0.9995      0.09       0.2     1.069     Polar          0.00      0.00   9000.00
3150T__035_2000_085_095         68.9       0.0     129.9      -1.7      50.7      -3.7    0.9991      0.11       0.2     1.410     Polar          0.00      0.00   9000.00
3150T__035_2000_085_100         69.0       0.1     129.5      -1.9      50.4      -4.3    0.9987      0.13       0.2     1.744     Polar          0.00      0.00   9000.00
3150T__035_2000_085_105         69.0       0.2     129.3      -2.1      50.2      -4.7    0.9982      0.15       0.3     2.074     Polar          0.00      0.00   9000.00
3150T__035_2000_085_110         69.0       0.2     129.1      -2.3      50.0      -5.0    0.9977      0.16       0.3     2.386     Polar          0.00      0.00   9000.00
3150T__035_2000_085_115         69.1       0.3     129.0      -2.3      49.8      -5.3    0.9973      0.17       0.3     2.689     Polar          0.00      0.00   9000.00
3150T__035_2000_085_120         69.1       0.3     129.0      -2.3      49.6      -5.7    0.9970      0.18       0.4     2.967     Polar          0.00      0.00   9000.00
