FARFIELD COMPARISON ANALYSIS FILE

Comparison analysis performed by Nucleus+ version 2.7.1
Comparison analysis performed by Marine Source Modelling version 1.11.1

Time window for computation (ms)   : -68.50  -  331.50
Primary pick window (ms)           : -68.50  -   30.00
Bubble pick window (ms)            :  50.00  -  200.00

Frequency analysis option  : Average absolute spectral deviation
Bandwidth of analysis (Hz) :  10.00  -   70.00


         Farfield name          Peak       %ch    P-to-P       %ch       P/B       %ch    X-corr     AvgdB      MaxdB   MaxPhase   Coordinates     Dip/X     Az/Y    Dist/Z
4135H__050_2000_080             69.5       0.0     143.9       0.0      37.5       0.0    1.0000      0.00       0.0     0.000     Polar          0.00      0.00   9000.00
4135H__050_2000_100_040         70.6       1.6     141.3      -1.8      38.6       2.9    0.9964      0.35       0.8     4.948     Polar          0.00      0.00   9000.00
4135H__050_2000_100_045         70.7       1.8     141.9      -1.4      38.5       2.6    0.9974      0.26       0.6     3.923     Polar          0.00      0.00   9000.00
4135H__050_2000_100_050         70.7       1.7     142.4      -1.0      38.4       2.3    0.9982      0.19       0.5     2.917     Polar          0.00      0.00   9000.00
4135H__050_2000_100_055         70.5       1.5     142.9      -0.7      38.3       2.1    0.9988      0.13       0.3     1.997     Polar          0.00      0.00   9000.00
4135H__050_2000_100_060         70.3       1.2     143.5      -0.3      38.3       2.1    0.9993      0.08       0.2     1.225     Polar          0.00      0.00   9000.00
4135H__050_2000_100_065         70.2       1.0     144.1       0.1      38.3       2.0    0.9995      0.05       0.1     0.873     Polar          0.00      0.00   9000.00
4135H__050_2000_100_070         70.0       0.8     144.7       0.5      38.3       2.0    0.9996      0.04       0.1     0.788     Polar          0.00      0.00   9000.00
4135H__050_2000_100_075         70.0       0.7     145.3       1.0      38.3       2.1    0.9994      0.06       0.2     1.015     Polar          0.00      0.00   9000.00
4135H__050_2000_100_080         70.0       0.7     146.0       1.5      38.4       2.3    0.9991      0.09       0.3     1.375     Polar          0.00      0.00   9000.00
4135H__050_2000_100_085         70.1       0.8     146.6       1.9      38.4       2.3    0.9985      0.12       0.4     1.774     Polar          0.00      0.00   9000.00
4135H__050_2000_100_090         70.2       1.0     147.2       2.3      38.4       2.3    0.9978      0.14       0.4     2.134     Polar          0.00      0.00   9000.00
4135H__050_2000_100_095         70.3       1.2     147.6       2.6      38.3       2.2    0.9970      0.17       0.5     2.492     Polar          0.00      0.00   9000.00
4135H__050_2000_100_100         70.5       1.5     147.8       2.7      38.3       2.0    0.9963      0.19       0.5     2.800     Polar          0.00      0.00   9000.00
4135H__050_2000_100_105         70.6       1.6     147.8       2.7      38.1       1.6    0.9958      0.21       0.6     3.064     Polar          0.00      0.00   9000.00
4135H__050_2000_100_110         70.7       1.7     147.5       2.5      38.0       1.3    0.9954      0.23       0.6     3.222     Polar          0.00      0.00   9000.00
4135H__050_2000_100_115         70.7       1.7     147.0       2.2      37.8       0.8    0.9952      0.25       0.6     3.520     Polar          0.00      0.00   9000.00
4135H__050_2000_100_120         70.6       1.6     146.3       1.7      37.7       0.4    0.9952      0.26       0.7     3.864     Polar          0.00      0.00   9000.00
