FARFIELD COMPARISON ANALYSIS FILE

Comparison analysis performed by Nucleus+ version 2.7.1
Comparison analysis performed by Marine Source Modelling version 1.11.1

Time window for computation (ms)   : -68.50  -  331.50
Primary pick window (ms)           : -68.50  -   30.00
Bubble pick window (ms)            :  50.00  -  200.00

Frequency analysis option  : Average absolute spectral deviation
Bandwidth of analysis (Hz) :  10.00  -   70.00


         Farfield name          Peak       %ch    P-to-P       %ch       P/B       %ch    X-corr     AvgdB      MaxdB   MaxPhase   Coordinates     Dip/X     Az/Y    Dist/Z
4135H__050_2000_080             69.5       0.0     143.9       0.0      37.5       0.0    1.0000      0.00       0.0     0.000     Polar          0.00      0.00   9000.00
4135H__050_2000_105_040         70.6       1.6     140.8      -2.2      38.5       2.6    0.9960      0.33       0.8     4.682     Polar          0.00      0.00   9000.00
4135H__050_2000_105_045         70.8       1.9     141.6      -1.6      38.4       2.4    0.9970      0.24       0.6     3.632     Polar          0.00      0.00   9000.00
4135H__050_2000_105_050         70.8       1.9     142.3      -1.1      38.3       2.2    0.9978      0.17       0.4     2.633     Polar          0.00      0.00   9000.00
4135H__050_2000_105_055         70.7       1.7     142.9      -0.7      38.3       2.2    0.9985      0.12       0.3     1.706     Polar          0.00      0.00   9000.00
4135H__050_2000_105_060         70.5       1.5     143.6      -0.2      38.3       2.2    0.9989      0.07       0.2     1.181     Polar          0.00      0.00   9000.00
4135H__050_2000_105_065         70.4       1.3     144.3       0.3      38.3       2.2    0.9992      0.05       0.2     0.989     Polar          0.00      0.00   9000.00
4135H__050_2000_105_070         70.3       1.1     145.0       0.8      38.4       2.3    0.9992      0.05       0.2     1.081     Polar          0.00      0.00   9000.00
4135H__050_2000_105_075         70.2       1.1     145.7       1.3      38.4       2.4    0.9990      0.08       0.3     1.312     Polar          0.00      0.00   9000.00
4135H__050_2000_105_080         70.2       1.1     146.3       1.7      38.4       2.5    0.9986      0.11       0.3     1.690     Polar          0.00      0.00   9000.00
4135H__050_2000_105_085         70.3       1.1     146.9       2.1      38.4       2.4    0.9980      0.14       0.4     2.087     Polar          0.00      0.00   9000.00
4135H__050_2000_105_090         70.4       1.3     147.3       2.4      38.4       2.3    0.9973      0.16       0.5     2.446     Polar          0.00      0.00   9000.00
4135H__050_2000_105_095         70.5       1.4     147.6       2.6      38.3       2.2    0.9965      0.19       0.5     2.775     Polar          0.00      0.00   9000.00
4135H__050_2000_105_100         70.6       1.6     147.8       2.7      38.2       1.9    0.9958      0.21       0.6     3.066     Polar          0.00      0.00   9000.00
4135H__050_2000_105_105         70.7       1.7     147.7       2.7      38.1       1.7    0.9952      0.23       0.6     3.272     Polar          0.00      0.00   9000.00
4135H__050_2000_105_110         70.7       1.8     147.4       2.5      38.0       1.3    0.9948      0.25       0.7     3.477     Polar          0.00      0.00   9000.00
4135H__050_2000_105_115         70.8       1.8     146.9       2.1      37.9       1.0    0.9946      0.26       0.7     3.811     Polar          0.00      0.00   9000.00
4135H__050_2000_105_120         70.7       1.8     146.3       1.7      37.7       0.6    0.9945      0.28       0.7     4.099     Polar          0.00      0.00   9000.00
