FARFIELD COMPARISON ANALYSIS FILE

Comparison analysis performed by Nucleus+ version 2.7.1
Comparison analysis performed by Marine Source Modelling version 1.11.1

Time window for computation (ms)   : -68.50  -  331.50
Primary pick window (ms)           : -68.50  -   30.00
Bubble pick window (ms)            :  50.00  -  200.00

Frequency analysis option  : Average absolute spectral deviation
Bandwidth of analysis (Hz) :  10.00  -   70.00


         Farfield name          Peak       %ch    P-to-P       %ch       P/B       %ch    X-corr     AvgdB      MaxdB   MaxPhase   Coordinates     Dip/X     Az/Y    Dist/Z
4135H__050_2000_080             69.5       0.0     143.9       0.0      37.5       0.0    1.0000      0.00       0.0     0.000     Polar          0.00      0.00   9000.00
4135H__050_2000_120_040         70.7       1.7     139.2      -3.3      38.1       1.6    0.9944      0.28       0.6     4.017     Polar          0.00      0.00   9000.00
4135H__050_2000_120_045         70.9       2.1     140.5      -2.4      38.2       1.8    0.9954      0.20       0.5     2.954     Polar          0.00      0.00   9000.00
4135H__050_2000_120_050         71.0       2.2     141.5      -1.6      38.3       2.1    0.9962      0.14       0.4     2.135     Polar          0.00      0.00   9000.00
4135H__050_2000_120_055         71.0       2.2     142.5      -1.0      38.4       2.2    0.9970      0.10       0.3     1.728     Polar          0.00      0.00   9000.00
4135H__050_2000_120_060         70.9       2.1     143.4      -0.4      38.4       2.4    0.9976      0.08       0.2     1.705     Polar          0.00      0.00   9000.00
4135H__050_2000_120_065         70.8       1.9     144.1       0.1      38.4       2.3    0.9979      0.07       0.2     1.795     Polar          0.00      0.00   9000.00
4135H__050_2000_120_070         70.7       1.7     144.6       0.5      38.3       2.1    0.9980      0.10       0.3     2.017     Polar          0.00      0.00   9000.00
4135H__050_2000_120_075         70.6       1.5     145.1       0.8      38.3       2.1    0.9979      0.13       0.4     2.254     Polar          0.00      0.00   9000.00
4135H__050_2000_120_080         70.5       1.4     145.5       1.1      38.2       2.0    0.9977      0.16       0.5     2.536     Polar          0.00      0.00   9000.00
4135H__050_2000_120_085         70.5       1.4     145.8       1.3      38.2       1.9    0.9972      0.19       0.5     2.842     Polar          0.00      0.00   9000.00
4135H__050_2000_120_090         70.5       1.4     146.1       1.5      38.2       1.8    0.9967      0.21       0.6     3.132     Polar          0.00      0.00   9000.00
4135H__050_2000_120_095         70.5       1.5     146.3       1.7      38.2       1.8    0.9960      0.24       0.6     3.416     Polar          0.00      0.00   9000.00
4135H__050_2000_120_100         70.6       1.6     146.4       1.7      38.1       1.7    0.9953      0.26       0.7     3.739     Polar          0.00      0.00   9000.00
4135H__050_2000_120_105         70.7       1.8     146.3       1.7      38.1       1.5    0.9946      0.28       0.7     4.007     Polar          0.00      0.00   9000.00
4135H__050_2000_120_110         70.8       1.9     146.1       1.6      37.9       1.1    0.9939      0.29       0.8     4.246     Polar          0.00      0.00   9000.00
4135H__050_2000_120_115         70.9       2.0     145.9       1.4      37.8       0.7    0.9933      0.31       0.8     4.470     Polar          0.00      0.00   9000.00
4135H__050_2000_120_120         70.9       2.0     145.4       1.0      37.6       0.2    0.9929      0.32       0.8     4.693     Polar          0.00      0.00   9000.00
