FARFIELD COMPARISON ANALYSIS FILE

Comparison analysis performed by Nucleus+ version 2.7.1
Comparison analysis performed by Marine Source Modelling version 1.11.1

Time window for computation (ms)   : -68.50  -  331.50
Primary pick window (ms)           : -68.50  -   30.00
Bubble pick window (ms)            :  50.00  -  200.00

Frequency analysis option  : Average absolute spectral deviation
Bandwidth of analysis (Hz) :  10.00  -   70.00


         Farfield name          Peak       %ch    P-to-P       %ch       P/B       %ch    X-corr     AvgdB      MaxdB   MaxPhase   Coordinates     Dip/X     Az/Y    Dist/Z
4135H__050_2000_080             69.5       0.0     143.9       0.0      37.5       0.0    1.0000      0.00       0.0     0.000     Polar          0.00      0.00   9000.00
4135H__050_2000_070_040         70.7       1.7     142.6      -0.9      38.3       2.1    0.9936      0.60       1.1     7.408     Polar          0.00      0.00   9000.00
4135H__050_2000_070_045         71.0       2.2     143.5      -0.3      38.2       1.9    0.9947      0.50       0.9     6.423     Polar          0.00      0.00   9000.00
4135H__050_2000_070_050         71.0       2.2     143.8      -0.0      38.1       1.6    0.9957      0.42       0.8     5.403     Polar          0.00      0.00   9000.00
4135H__050_2000_070_055         70.9       2.1     143.9       0.0      37.9       1.2    0.9967      0.35       0.6     4.465     Polar          0.00      0.00   9000.00
4135H__050_2000_070_060         70.7       1.8     143.9       0.0      37.8       0.7    0.9976      0.28       0.5     3.591     Polar          0.00      0.00   9000.00
4135H__050_2000_070_065         70.5       1.4     143.8      -0.1      37.6       0.2    0.9984      0.22       0.4     2.784     Polar          0.00      0.00   9000.00
4135H__050_2000_070_070         70.2       1.0     143.7      -0.2      37.4      -0.3    0.9990      0.16       0.3     2.091     Polar          0.00      0.00   9000.00
4135H__050_2000_070_075         70.0       0.7     143.6      -0.2      37.2      -0.7    0.9995      0.12       0.2     1.460     Polar          0.00      0.00   9000.00
4135H__050_2000_070_080         69.8       0.5     143.5      -0.2      37.1      -1.0    0.9998      0.07       0.2     0.907     Polar          0.00      0.00   9000.00
4135H__050_2000_070_085         69.7       0.3     143.6      -0.2      37.0      -1.3    0.9999      0.04       0.1     0.526     Polar          0.00      0.00   9000.00
4135H__050_2000_070_090         69.7       0.4     143.9      -0.0      37.0      -1.4    0.9999      0.03       0.1     0.439     Polar          0.00      0.00   9000.00
4135H__050_2000_070_095         69.9       0.5     144.2       0.2      37.0      -1.4    0.9998      0.03       0.1     0.779     Polar          0.00      0.00   9000.00
4135H__050_2000_070_100         70.0       0.8     144.7       0.5      37.0      -1.3    0.9995      0.05       0.1     1.091     Polar          0.00      0.00   9000.00
4135H__050_2000_070_105         70.3       1.1     145.0       0.8      37.0      -1.4    0.9992      0.06       0.2     1.366     Polar          0.00      0.00   9000.00
4135H__050_2000_070_110         70.5       1.4     145.1       0.8      36.9      -1.7    0.9987      0.08       0.2     1.646     Polar          0.00      0.00   9000.00
4135H__050_2000_070_115         70.6       1.6     145.0       0.7      36.8      -2.0    0.9982      0.09       0.3     1.977     Polar          0.00      0.00   9000.00
4135H__050_2000_070_120         70.7       1.7     144.6       0.5      36.6      -2.5    0.9978      0.11       0.3     2.311     Polar          0.00      0.00   9000.00
