FARFIELD COMPARISON ANALYSIS FILE

Comparison analysis performed by Nucleus+ version 2.7.1
Comparison analysis performed by Marine Source Modelling version 1.11.1

Time window for computation (ms)   : -68.50  -  331.50
Primary pick window (ms)           : -68.50  -   30.00
Bubble pick window (ms)            :  50.00  -  200.00

Frequency analysis option  : Average absolute spectral deviation
Bandwidth of analysis (Hz) :  10.00  -   70.00


         Farfield name          Peak       %ch    P-to-P       %ch       P/B       %ch    X-corr     AvgdB      MaxdB   MaxPhase   Coordinates     Dip/X     Az/Y    Dist/Z
4135H__050_2000_080             69.5       0.0     143.9       0.0      37.5       0.0    1.0000      0.00       0.0     0.000     Polar          0.00      0.00   9000.00
4135H__050_2000_055_040         70.8       1.8     141.1      -1.9      37.4      -0.2    0.9874      0.79       1.5     9.714     Polar          0.00      0.00   9000.00
4135H__050_2000_055_045         71.2       2.4     142.5      -0.9      37.4      -0.2    0.9892      0.69       1.2     8.795     Polar          0.00      0.00   9000.00
4135H__050_2000_055_050         71.3       2.7     143.4      -0.3      37.4      -0.3    0.9910      0.60       1.0     7.849     Polar          0.00      0.00   9000.00
4135H__050_2000_055_055         71.4       2.7     143.9       0.0      37.3      -0.7    0.9927      0.53       0.8     6.875     Polar          0.00      0.00   9000.00
4135H__050_2000_055_060         71.3       2.6     144.2       0.2      37.1      -1.0    0.9942      0.46       0.7     6.002     Polar          0.00      0.00   9000.00
4135H__050_2000_055_065         71.1       2.3     144.2       0.2      37.0      -1.5    0.9956      0.39       0.7     5.148     Polar          0.00      0.00   9000.00
4135H__050_2000_055_070         70.9       2.1     144.0       0.1      36.8      -2.0    0.9968      0.34       0.6     4.387     Polar          0.00      0.00   9000.00
4135H__050_2000_055_075         70.7       1.8     143.8      -0.1      36.6      -2.5    0.9978      0.29       0.5     3.731     Polar          0.00      0.00   9000.00
4135H__050_2000_055_080         70.6       1.6     143.5      -0.3      36.4      -3.0    0.9985      0.24       0.4     3.131     Polar          0.00      0.00   9000.00
4135H__050_2000_055_085         70.5       1.4     143.3      -0.4      36.2      -3.4    0.9990      0.20       0.4     2.624     Polar          0.00      0.00   9000.00
4135H__050_2000_055_090         70.4       1.4     143.1      -0.5      36.1      -3.7    0.9992      0.16       0.3     2.144     Polar          0.00      0.00   9000.00
4135H__050_2000_055_095         70.5       1.4     143.0      -0.6      36.0      -4.1    0.9991      0.13       0.3     1.701     Polar          0.00      0.00   9000.00
4135H__050_2000_055_100         70.5       1.5     143.0      -0.6      35.8      -4.4    0.9989      0.10       0.3     1.450     Polar          0.00      0.00   9000.00
4135H__050_2000_055_105         70.7       1.7     143.0      -0.6      35.7      -4.7    0.9985      0.09       0.2     1.219     Polar          0.00      0.00   9000.00
4135H__050_2000_055_110         70.8       1.9     142.9      -0.7      35.6      -5.0    0.9980      0.08       0.2     1.148     Polar          0.00      0.00   9000.00
4135H__050_2000_055_115         70.9       2.1     142.8      -0.8      35.5      -5.3    0.9974      0.08       0.2     1.515     Polar          0.00      0.00   9000.00
4135H__050_2000_055_120         71.0       2.2     142.5      -1.0      35.4      -5.6    0.9969      0.08       0.2     1.902     Polar          0.00      0.00   9000.00
