FARFIELD COMPARISON ANALYSIS FILE

Comparison analysis performed by Nucleus+ version 2.7.1
Comparison analysis performed by Marine Source Modelling version 1.11.1

Time window for computation (ms)   : -68.50  -  331.50
Primary pick window (ms)           : -68.50  -   30.00
Bubble pick window (ms)            :  50.00  -  200.00

Frequency analysis option  : Average absolute spectral deviation
Bandwidth of analysis (Hz) :  10.00  -   70.00


         Farfield name          Peak       %ch    P-to-P       %ch       P/B       %ch    X-corr     AvgdB      MaxdB   MaxPhase   Coordinates     Dip/X     Az/Y    Dist/Z
4135H__050_2000_080             69.5       0.0     143.9       0.0      37.5       0.0    1.0000      0.00       0.0     0.000     Polar          0.00      0.00   9000.00
4135H__050_2000_110_040         70.7       1.7     140.3      -2.5      38.4       2.3    0.9955      0.30       0.7     4.453     Polar          0.00      0.00   9000.00
4135H__050_2000_110_045         70.9       2.0     141.2      -1.9      38.3       2.1    0.9965      0.22       0.5     3.385     Polar          0.00      0.00   9000.00
4135H__050_2000_110_050         70.9       2.0     142.1      -1.3      38.3       2.2    0.9973      0.16       0.4     2.365     Polar          0.00      0.00   9000.00
4135H__050_2000_110_055         70.8       1.9     142.9      -0.7      38.3       2.2    0.9980      0.11       0.3     1.637     Polar          0.00      0.00   9000.00
4135H__050_2000_110_060         70.7       1.7     143.7      -0.1      38.4       2.4    0.9985      0.07       0.2     1.276     Polar          0.00      0.00   9000.00
4135H__050_2000_110_065         70.6       1.5     144.5       0.4      38.4       2.4    0.9988      0.05       0.2     1.240     Polar          0.00      0.00   9000.00
4135H__050_2000_110_070         70.5       1.4     145.2       0.9      38.5       2.5    0.9988      0.07       0.2     1.390     Polar          0.00      0.00   9000.00
4135H__050_2000_110_075         70.4       1.3     145.8       1.3      38.4       2.4    0.9986      0.10       0.3     1.631     Polar          0.00      0.00   9000.00
4135H__050_2000_110_080         70.4       1.3     146.3       1.7      38.4       2.4    0.9982      0.13       0.4     1.932     Polar          0.00      0.00   9000.00
4135H__050_2000_110_085         70.4       1.3     146.7       2.0      38.4       2.3    0.9976      0.15       0.5     2.319     Polar          0.00      0.00   9000.00
4135H__050_2000_110_090         70.5       1.4     147.2       2.3      38.3       2.1    0.9969      0.18       0.5     2.666     Polar          0.00      0.00   9000.00
4135H__050_2000_110_095         70.6       1.5     147.4       2.5      38.3       2.0    0.9962      0.20       0.6     2.962     Polar          0.00      0.00   9000.00
4135H__050_2000_110_100         70.7       1.7     147.5       2.5      38.2       1.9    0.9955      0.23       0.6     3.207     Polar          0.00      0.00   9000.00
4135H__050_2000_110_105         70.7       1.8     147.5       2.5      38.1       1.7    0.9948      0.25       0.7     3.443     Polar          0.00      0.00   9000.00
4135H__050_2000_110_110         70.8       1.9     147.2       2.3      38.0       1.3    0.9944      0.26       0.7     3.773     Polar          0.00      0.00   9000.00
4135H__050_2000_110_115         70.8       1.9     146.7       1.9      37.9       1.0    0.9940      0.28       0.7     4.052     Polar          0.00      0.00   9000.00
4135H__050_2000_110_120         70.8       1.9     146.1       1.5      37.7       0.5    0.9939      0.29       0.8     4.302     Polar          0.00      0.00   9000.00
