FARFIELD COMPARISON ANALYSIS FILE

Comparison analysis performed by Nucleus+ version 2.7.1
Comparison analysis performed by Marine Source Modelling version 1.11.1

Time window for computation (ms)   : -68.50  -  331.50
Primary pick window (ms)           : -68.50  -   30.00
Bubble pick window (ms)            :  50.00  -  200.00

Frequency analysis option  : Average absolute spectral deviation
Bandwidth of analysis (Hz) :  10.00  -   70.00


         Farfield name          Peak       %ch    P-to-P       %ch       P/B       %ch    X-corr     AvgdB      MaxdB   MaxPhase   Coordinates     Dip/X     Az/Y    Dist/Z
4135H__050_2000_080             69.5       0.0     143.9       0.0      37.5       0.0    1.0000      0.00       0.0     0.000     Polar          0.00      0.00   9000.00
4135H__050_2000_080_040         70.6       1.6     142.6      -0.9      38.5       2.7    0.9957      0.51       1.0     6.357     Polar          0.00      0.00   9000.00
4135H__050_2000_080_045         70.8       1.9     143.1      -0.5      38.4       2.5    0.9967      0.41       0.8     5.342     Polar          0.00      0.00   9000.00
4135H__050_2000_080_050         70.8       1.9     143.3      -0.4      38.3       2.2    0.9976      0.32       0.7     4.375     Polar          0.00      0.00   9000.00
4135H__050_2000_080_055         70.6       1.6     143.4      -0.3      38.1       1.6    0.9983      0.25       0.5     3.443     Polar          0.00      0.00   9000.00
4135H__050_2000_080_060         70.3       1.2     143.5      -0.3      38.0       1.3    0.9990      0.19       0.4     2.587     Polar          0.00      0.00   9000.00
4135H__050_2000_080_065         70.1       0.8     143.5      -0.3      37.8       0.8    0.9994      0.13       0.3     1.811     Polar          0.00      0.00   9000.00
4135H__050_2000_080_070         69.8       0.5     143.5      -0.3      37.7       0.4    0.9998      0.08       0.2     1.111     Polar          0.00      0.00   9000.00
4135H__050_2000_080_075         69.6       0.2     143.7      -0.2      37.6       0.1    0.9999      0.04       0.1     0.518     Polar          0.00      0.00   9000.00
4135H__050_2000_080_080         69.5       0.0     143.9       0.0      37.5       0.0    1.0000      0.00       0.0     0.000     Polar          0.00      0.00   9000.00
4135H__050_2000_080_085         69.5      -0.0     144.3       0.3      37.5      -0.0    0.9999      0.03       0.1     0.467     Polar          0.00      0.00   9000.00
4135H__050_2000_080_090         69.6       0.1     144.8       0.6      37.6       0.2    0.9998      0.06       0.1     0.873     Polar          0.00      0.00   9000.00
4135H__050_2000_080_095         69.8       0.4     145.4       1.1      37.6       0.3    0.9994      0.08       0.2     1.273     Polar          0.00      0.00   9000.00
4135H__050_2000_080_100         70.0       0.7     146.0       1.4      37.6       0.3    0.9990      0.10       0.2     1.646     Polar          0.00      0.00   9000.00
4135H__050_2000_080_105         70.2       1.1     146.3       1.7      37.6       0.1    0.9985      0.11       0.3     2.002     Polar          0.00      0.00   9000.00
4135H__050_2000_080_110         70.4       1.3     146.2       1.6      37.4      -0.3    0.9981      0.13       0.3     2.281     Polar          0.00      0.00   9000.00
4135H__050_2000_080_115         70.5       1.5     146.0       1.4      37.2      -0.7    0.9977      0.15       0.4     2.539     Polar          0.00      0.00   9000.00
4135H__050_2000_080_120         70.5       1.5     145.4       1.1      37.1      -1.2    0.9975      0.16       0.4     2.741     Polar          0.00      0.00   9000.00
