FARFIELD COMPARISON ANALYSIS FILE

Comparison analysis performed by Nucleus+ version 2.7.1
Comparison analysis performed by Marine Source Modelling version 1.11.1

Time window for computation (ms)   : -68.50  -  331.50
Primary pick window (ms)           : -68.50  -   30.00
Bubble pick window (ms)            :  50.00  -  200.00

Frequency analysis option  : Average absolute spectral deviation
Bandwidth of analysis (Hz) :  10.00  -   70.00


         Farfield name          Peak       %ch    P-to-P       %ch       P/B       %ch    X-corr     AvgdB      MaxdB   MaxPhase   Coordinates     Dip/X     Az/Y    Dist/Z
4135H__050_2000_080             69.5       0.0     143.9       0.0      37.5       0.0    1.0000      0.00       0.0     0.000     Polar          0.00      0.00   9000.00
4135H__050_2000_040_040         70.4       1.3     136.9      -4.9      35.2      -6.1    0.9784      1.06       2.2    12.380     Polar          0.00      0.00   9000.00
4135H__050_2000_040_045         70.6       1.6     138.7      -3.6      35.3      -5.9    0.9816      0.95       1.8    11.829     Polar          0.00      0.00   9000.00
4135H__050_2000_040_050         70.7       1.8     140.1      -2.6      35.4      -5.7    0.9847      0.86       1.6    11.184     Polar          0.00      0.00   9000.00
4135H__050_2000_040_055         70.8       1.8     141.2      -1.9      35.4      -5.5    0.9875      0.78       1.3    10.373     Polar          0.00      0.00   9000.00
4135H__050_2000_040_060         70.7       1.8     142.1      -1.3      35.3      -5.8    0.9900      0.71       1.2     9.578     Polar          0.00      0.00   9000.00
4135H__050_2000_040_065         70.7       1.7     142.6      -0.9      35.2      -6.1    0.9921      0.65       1.1     8.809     Polar          0.00      0.00   9000.00
4135H__050_2000_040_070         70.7       1.7     142.8      -0.8      35.1      -6.5    0.9938      0.59       1.0     8.098     Polar          0.00      0.00   9000.00
4135H__050_2000_040_075         70.6       1.6     142.9      -0.7      35.0      -6.8    0.9951      0.54       0.9     7.450     Polar          0.00      0.00   9000.00
4135H__050_2000_040_080         70.6       1.5     142.8      -0.8      34.8      -7.2    0.9960      0.49       0.8     6.850     Polar          0.00      0.00   9000.00
4135H__050_2000_040_085         70.5       1.5     142.6      -0.9      34.7      -7.6    0.9967      0.44       0.7     6.298     Polar          0.00      0.00   9000.00
4135H__050_2000_040_090         70.5       1.5     142.2      -1.2      34.5      -8.0    0.9970      0.40       0.7     5.805     Polar          0.00      0.00   9000.00
4135H__050_2000_040_095         70.5       1.5     141.9      -1.4      34.3      -8.5    0.9970      0.36       0.6     5.381     Polar          0.00      0.00   9000.00
4135H__050_2000_040_100         70.6       1.6     141.4      -1.7      34.1      -9.0    0.9967      0.32       0.6     4.967     Polar          0.00      0.00   9000.00
4135H__050_2000_040_105         70.6       1.6     141.0      -2.0      33.9      -9.5    0.9963      0.29       0.6     4.598     Polar          0.00      0.00   9000.00
4135H__050_2000_040_110         70.7       1.7     140.4      -2.4      33.7     -10.1    0.9957      0.26       0.6     4.247     Polar          0.00      0.00   9000.00
4135H__050_2000_040_115         70.7       1.7     139.9      -2.8      33.5     -10.6    0.9951      0.24       0.6     3.946     Polar          0.00      0.00   9000.00
4135H__050_2000_040_120         70.7       1.7     139.3      -3.2      33.3     -11.2    0.9945      0.22       0.6     3.638     Polar          0.00      0.00   9000.00
