FARFIELD COMPARISON ANALYSIS FILE

Comparison analysis performed by Nucleus+ version 2.7.1
Comparison analysis performed by Marine Source Modelling version 1.11.1

Time window for computation (ms)   : -68.50  -  331.50
Primary pick window (ms)           : -68.50  -   30.00
Bubble pick window (ms)            :  50.00  -  200.00

Frequency analysis option  : Average absolute spectral deviation
Bandwidth of analysis (Hz) :  10.00  -   70.00


         Farfield name          Peak       %ch    P-to-P       %ch       P/B       %ch    X-corr     AvgdB      MaxdB   MaxPhase   Coordinates     Dip/X     Az/Y    Dist/Z
4135H__050_2000_080             69.5       0.0     143.9       0.0      37.5       0.0    1.0000      0.00       0.0     0.000     Polar          0.00      0.00   9000.00
4135H__050_2000_060_040         70.7       1.8     141.9      -1.4      37.8       0.9    0.9898      0.72       1.4     8.878     Polar          0.00      0.00   9000.00
4135H__050_2000_060_045         71.1       2.4     143.1      -0.6      37.8       0.8    0.9913      0.62       1.1     7.873     Polar          0.00      0.00   9000.00
4135H__050_2000_060_050         71.3       2.6     143.8      -0.1      37.7       0.5    0.9928      0.54       0.9     6.914     Polar          0.00      0.00   9000.00
4135H__050_2000_060_055         71.3       2.6     144.2       0.2      37.6       0.2    0.9942      0.46       0.8     5.947     Polar          0.00      0.00   9000.00
4135H__050_2000_060_060         71.1       2.3     144.2       0.2      37.5      -0.2    0.9955      0.39       0.6     5.086     Polar          0.00      0.00   9000.00
4135H__050_2000_060_065         70.9       2.1     144.1       0.2      37.3      -0.7    0.9967      0.33       0.6     4.219     Polar          0.00      0.00   9000.00
4135H__050_2000_060_070         70.7       1.8     144.0       0.0      37.1      -1.2    0.9977      0.27       0.5     3.495     Polar          0.00      0.00   9000.00
4135H__050_2000_060_075         70.5       1.5     143.7      -0.1      36.9      -1.7    0.9985      0.23       0.4     2.846     Polar          0.00      0.00   9000.00
4135H__050_2000_060_080         70.3       1.2     143.5      -0.3      36.7      -2.1    0.9991      0.18       0.3     2.271     Polar          0.00      0.00   9000.00
4135H__050_2000_060_085         70.2       1.1     143.4      -0.4      36.6      -2.5    0.9994      0.14       0.3     1.750     Polar          0.00      0.00   9000.00
4135H__050_2000_060_090         70.2       1.0     143.3      -0.4      36.5      -2.8    0.9996      0.10       0.2     1.331     Polar          0.00      0.00   9000.00
4135H__050_2000_060_095         70.2       1.1     143.4      -0.4      36.4      -3.1    0.9995      0.07       0.2     1.087     Polar          0.00      0.00   9000.00
4135H__050_2000_060_100         70.4       1.2     143.5      -0.3      36.3      -3.2    0.9993      0.06       0.2     0.852     Polar          0.00      0.00   9000.00
4135H__050_2000_060_105         70.5       1.5     143.7      -0.2      36.2      -3.4    0.9989      0.06       0.2     0.947     Polar          0.00      0.00   9000.00
4135H__050_2000_060_110         70.7       1.7     143.7      -0.1      36.2      -3.6    0.9985      0.06       0.1     1.280     Polar          0.00      0.00   9000.00
4135H__050_2000_060_115         70.8       1.9     143.6      -0.2      36.1      -3.9    0.9979      0.07       0.2     1.668     Polar          0.00      0.00   9000.00
4135H__050_2000_060_120         70.9       2.1     143.3      -0.4      35.9      -4.3    0.9974      0.07       0.2     1.995     Polar          0.00      0.00   9000.00
