FARFIELD COMPARISON ANALYSIS FILE

Comparison analysis performed by Nucleus+ version 2.7.1
Comparison analysis performed by Marine Source Modelling version 1.11.1

Time window for computation (ms)   : -68.50  -  331.50
Primary pick window (ms)           : -68.50  -   30.00
Bubble pick window (ms)            :  50.00  -  200.00

Frequency analysis option  : Average absolute spectral deviation
Bandwidth of analysis (Hz) :  10.00  -   70.00


         Farfield name          Peak       %ch    P-to-P       %ch       P/B       %ch    X-corr     AvgdB      MaxdB   MaxPhase   Coordinates     Dip/X     Az/Y    Dist/Z
4135H__050_2000_080             69.5       0.0     143.9       0.0      37.5       0.0    1.0000      0.00       0.0     0.000     Polar          0.00      0.00   9000.00
4135H__050_2000_045_040         70.6       1.6     138.6      -3.7      36.1      -3.7    0.9815      0.96       1.9    11.515     Polar          0.00      0.00   9000.00
4135H__050_2000_045_045         70.9       2.1     140.3      -2.5      36.2      -3.4    0.9843      0.85       1.6    10.814     Polar          0.00      0.00   9000.00
4135H__050_2000_045_050         71.1       2.3     141.7      -1.6      36.3      -3.1    0.9869      0.76       1.3    10.025     Polar          0.00      0.00   9000.00
4135H__050_2000_045_055         71.2       2.4     142.6      -0.9      36.2      -3.5    0.9893      0.69       1.1     9.145     Polar          0.00      0.00   9000.00
4135H__050_2000_045_060         71.1       2.4     143.2      -0.5      36.1      -3.7    0.9914      0.62       1.0     8.296     Polar          0.00      0.00   9000.00
4135H__050_2000_045_065         71.1       2.3     143.5      -0.3      36.0      -4.0    0.9933      0.55       0.9     7.492     Polar          0.00      0.00   9000.00
4135H__050_2000_045_070         71.0       2.1     143.6      -0.2      35.9      -4.4    0.9949      0.49       0.8     6.744     Polar          0.00      0.00   9000.00
4135H__050_2000_045_075         70.9       2.0     143.5      -0.3      35.7      -4.9    0.9961      0.44       0.7     6.074     Polar          0.00      0.00   9000.00
4135H__050_2000_045_080         70.8       1.9     143.3      -0.4      35.5      -5.3    0.9970      0.39       0.7     5.460     Polar          0.00      0.00   9000.00
4135H__050_2000_045_085         70.7       1.8     143.0      -0.6      35.3      -5.8    0.9976      0.35       0.6     4.923     Polar          0.00      0.00   9000.00
4135H__050_2000_045_090         70.7       1.7     142.7      -0.9      35.2      -6.3    0.9979      0.30       0.5     4.434     Polar          0.00      0.00   9000.00
4135H__050_2000_045_095         70.7       1.7     142.3      -1.1      35.0      -6.7    0.9979      0.27       0.5     3.993     Polar          0.00      0.00   9000.00
4135H__050_2000_045_100         70.7       1.8     142.0      -1.3      34.8      -7.1    0.9976      0.23       0.5     3.555     Polar          0.00      0.00   9000.00
4135H__050_2000_045_105         70.8       1.9     141.7      -1.5      34.7      -7.6    0.9972      0.20       0.5     3.166     Polar          0.00      0.00   9000.00
4135H__050_2000_045_110         70.9       2.0     141.3      -1.8      34.5      -8.1    0.9966      0.18       0.4     2.830     Polar          0.00      0.00   9000.00
4135H__050_2000_045_115         70.9       2.1     140.9      -2.1      34.3      -8.5    0.9960      0.16       0.4     2.490     Polar          0.00      0.00   9000.00
4135H__050_2000_045_120         71.0       2.1     140.5      -2.4      34.2      -8.9    0.9954      0.15       0.4     2.197     Polar          0.00      0.00   9000.00
