FARFIELD COMPARISON ANALYSIS FILE

Comparison analysis performed by Nucleus+ version 2.7.1
Comparison analysis performed by Marine Source Modelling version 1.11.1

Time window for computation (ms)   : -68.50  -  331.50
Primary pick window (ms)           : -68.50  -   30.00
Bubble pick window (ms)            :  50.00  -  200.00

Frequency analysis option  : Average absolute spectral deviation
Bandwidth of analysis (Hz) :  10.00  -   70.00


         Farfield name          Peak       %ch    P-to-P       %ch       P/B       %ch    X-corr     AvgdB      MaxdB   MaxPhase   Coordinates     Dip/X     Az/Y    Dist/Z
4135H__050_2000_080             69.5       0.0     143.9       0.0      37.5       0.0    1.0000      0.00       0.0     0.000     Polar          0.00      0.00   9000.00
4135H__050_2000_085_040         70.5       1.5     142.4      -1.1      38.6       2.9    0.9963      0.46       0.9     5.947     Polar          0.00      0.00   9000.00
4135H__050_2000_085_045         70.7       1.8     142.8      -0.7      38.5       2.6    0.9973      0.36       0.8     4.939     Polar          0.00      0.00   9000.00
4135H__050_2000_085_050         70.7       1.7     143.1      -0.6      38.4       2.3    0.9981      0.28       0.6     3.957     Polar          0.00      0.00   9000.00
4135H__050_2000_085_055         70.5       1.4     143.2      -0.5      38.2       1.8    0.9988      0.21       0.5     3.042     Polar          0.00      0.00   9000.00
4135H__050_2000_085_060         70.2       1.1     143.3      -0.4      38.1       1.5    0.9993      0.15       0.3     2.207     Polar          0.00      0.00   9000.00
4135H__050_2000_085_065         70.0       0.7     143.4      -0.3      37.9       1.1    0.9997      0.09       0.2     1.420     Polar          0.00      0.00   9000.00
4135H__050_2000_085_070         69.7       0.3     143.6      -0.2      37.8       0.7    0.9999      0.05       0.1     0.743     Polar          0.00      0.00   9000.00
4135H__050_2000_085_075         69.6       0.1     143.9      -0.0      37.7       0.6    1.0000      0.01       0.0     0.255     Polar          0.00      0.00   9000.00
4135H__050_2000_085_080         69.5      -0.0     144.3       0.3      37.7       0.6    0.9999      0.03       0.1     0.366     Polar          0.00      0.00   9000.00
4135H__050_2000_085_085         69.5      -0.0     144.8       0.6      37.8       0.8    0.9998      0.06       0.1     0.790     Polar          0.00      0.00   9000.00
4135H__050_2000_085_090         69.6       0.2     145.5       1.1      37.9       0.9    0.9995      0.08       0.2     1.193     Polar          0.00      0.00   9000.00
4135H__050_2000_085_095         69.8       0.5     146.1       1.5      37.9       1.0    0.9990      0.10       0.3     1.586     Polar          0.00      0.00   9000.00
4135H__050_2000_085_100         70.1       0.8     146.6       1.9      37.9       1.0    0.9985      0.12       0.3     1.981     Polar          0.00      0.00   9000.00
4135H__050_2000_085_105         70.3       1.1     146.8       2.0      37.8       0.7    0.9979      0.14       0.4     2.297     Polar          0.00      0.00   9000.00
4135H__050_2000_085_110         70.4       1.4     146.7       1.9      37.6       0.3    0.9975      0.16       0.4     2.593     Polar          0.00      0.00   9000.00
4135H__050_2000_085_115         70.5       1.4     146.4       1.7      37.4      -0.2    0.9972      0.18       0.4     2.791     Polar          0.00      0.00   9000.00
4135H__050_2000_085_120         70.5       1.4     145.8       1.3      37.3      -0.7    0.9970      0.19       0.5     3.016     Polar          0.00      0.00   9000.00
