FARFIELD COMPARISON ANALYSIS FILE

Comparison analysis performed by Nucleus+ version 2.7.1
Comparison analysis performed by Marine Source Modelling version 1.11.1

Time window for computation (ms)   : -68.50  -  331.50
Primary pick window (ms)           : -68.50  -   30.00
Bubble pick window (ms)            :  50.00  -  200.00

Frequency analysis option  : Average absolute spectral deviation
Bandwidth of analysis (Hz) :  10.00  -   70.00


         Farfield name          Peak       %ch    P-to-P       %ch       P/B       %ch    X-corr     AvgdB      MaxdB   MaxPhase   Coordinates     Dip/X     Az/Y    Dist/Z
4135H__050_2000_080             69.5       0.0     143.9       0.0      37.5       0.0    1.0000      0.00       0.0     0.000     Polar          0.00      0.00   9000.00
4135H__050_2000_075_040         70.6       1.6     142.7      -0.8      38.5       2.6    0.9948      0.55       1.1     6.861     Polar          0.00      0.00   9000.00
4135H__050_2000_075_045         70.9       2.0     143.4      -0.4      38.3       2.2    0.9958      0.45       0.9     5.838     Polar          0.00      0.00   9000.00
4135H__050_2000_075_050         70.9       2.0     143.6      -0.2      38.2       1.9    0.9968      0.37       0.7     4.856     Polar          0.00      0.00   9000.00
4135H__050_2000_075_055         70.8       1.8     143.7      -0.1      38.1       1.5    0.9976      0.30       0.6     3.921     Polar          0.00      0.00   9000.00
4135H__050_2000_075_060         70.5       1.5     143.7      -0.2      37.9       1.0    0.9984      0.23       0.5     3.055     Polar          0.00      0.00   9000.00
4135H__050_2000_075_065         70.2       1.1     143.6      -0.2      37.7       0.5    0.9990      0.17       0.3     2.273     Polar          0.00      0.00   9000.00
4135H__050_2000_075_070         70.0       0.7     143.6      -0.2      37.5       0.1    0.9995      0.12       0.2     1.562     Polar          0.00      0.00   9000.00
4135H__050_2000_075_075         69.8       0.4     143.6      -0.2      37.4      -0.3    0.9998      0.07       0.1     0.967     Polar          0.00      0.00   9000.00
4135H__050_2000_075_080         69.6       0.2     143.7      -0.2      37.3      -0.5    0.9999      0.03       0.1     0.398     Polar          0.00      0.00   9000.00
4135H__050_2000_075_085         69.6       0.1     143.9      -0.0      37.3      -0.7    1.0000      0.01       0.0     0.235     Polar          0.00      0.00   9000.00
4135H__050_2000_075_090         69.6       0.2     144.3       0.3      37.3      -0.7    0.9999      0.03       0.1     0.598     Polar          0.00      0.00   9000.00
4135H__050_2000_075_095         69.8       0.4     144.8       0.6      37.3      -0.5    0.9997      0.05       0.1     0.950     Polar          0.00      0.00   9000.00
4135H__050_2000_075_100         70.0       0.7     145.3       1.0      37.3      -0.5    0.9994      0.07       0.2     1.254     Polar          0.00      0.00   9000.00
4135H__050_2000_075_105         70.2       1.1     145.7       1.2      37.3      -0.6    0.9989      0.09       0.2     1.594     Polar          0.00      0.00   9000.00
4135H__050_2000_075_110         70.4       1.4     145.7       1.3      37.2      -0.9    0.9985      0.10       0.3     1.926     Polar          0.00      0.00   9000.00
4135H__050_2000_075_115         70.5       1.5     145.5       1.1      37.0      -1.3    0.9980      0.12       0.3     2.180     Polar          0.00      0.00   9000.00
4135H__050_2000_075_120         70.6       1.6     145.0       0.8      36.8      -1.8    0.9977      0.13       0.4     2.506     Polar          0.00      0.00   9000.00
