FARFIELD COMPARISON ANALYSIS FILE

Comparison analysis performed by Nucleus+ version 2.7.1
Comparison analysis performed by Marine Source Modelling version 1.11.1

Time window for computation (ms)   : -68.50  -  331.50
Primary pick window (ms)           : -68.50  -   30.00
Bubble pick window (ms)            :  50.00  -  200.00

Frequency analysis option  : Average absolute spectral deviation
Bandwidth of analysis (Hz) :  10.00  -   70.00


         Farfield name          Peak       %ch    P-to-P       %ch       P/B       %ch    X-corr     AvgdB      MaxdB   MaxPhase   Coordinates     Dip/X     Az/Y    Dist/Z
4135H__050_2000_080             69.5       0.0     143.9       0.0      37.5       0.0    1.0000      0.00       0.0     0.000     Polar          0.00      0.00   9000.00
4135H__050_2000_115_040         70.7       1.7     139.7      -2.9      38.3       2.0    0.9950      0.29       0.7     4.227     Polar          0.00      0.00   9000.00
4135H__050_2000_115_045         70.9       2.0     140.8      -2.1      38.2       1.9    0.9959      0.21       0.5     3.152     Polar          0.00      0.00   9000.00
4135H__050_2000_115_050         71.0       2.1     141.8      -1.4      38.3       2.1    0.9968      0.15       0.4     2.202     Polar          0.00      0.00   9000.00
4135H__050_2000_115_055         70.9       2.1     142.8      -0.8      38.4       2.3    0.9975      0.10       0.3     1.619     Polar          0.00      0.00   9000.00
4135H__050_2000_115_060         70.8       1.9     143.6      -0.2      38.4       2.4    0.9980      0.07       0.2     1.427     Polar          0.00      0.00   9000.00
4135H__050_2000_115_065         70.7       1.8     144.4       0.3      38.4       2.4    0.9983      0.06       0.2     1.516     Polar          0.00      0.00   9000.00
4135H__050_2000_115_070         70.6       1.6     145.0       0.8      38.4       2.4    0.9984      0.08       0.3     1.703     Polar          0.00      0.00   9000.00
4135H__050_2000_115_075         70.5       1.5     145.6       1.1      38.4       2.2    0.9982      0.11       0.4     1.943     Polar          0.00      0.00   9000.00
4135H__050_2000_115_080         70.5       1.4     146.0       1.5      38.3       2.2    0.9978      0.14       0.4     2.212     Polar          0.00      0.00   9000.00
4135H__050_2000_115_085         70.5       1.4     146.4       1.8      38.3       2.1    0.9973      0.17       0.5     2.511     Polar          0.00      0.00   9000.00
4135H__050_2000_115_090         70.5       1.5     146.8       2.0      38.3       2.0    0.9967      0.20       0.5     2.822     Polar          0.00      0.00   9000.00
4135H__050_2000_115_095         70.6       1.6     147.0       2.1      38.2       1.9    0.9960      0.22       0.6     3.109     Polar          0.00      0.00   9000.00
4135H__050_2000_115_100         70.7       1.7     147.1       2.2      38.2       1.8    0.9953      0.24       0.7     3.424     Polar          0.00      0.00   9000.00
4135H__050_2000_115_105         70.8       1.8     147.0       2.1      38.1       1.6    0.9947      0.26       0.7     3.751     Polar          0.00      0.00   9000.00
4135H__050_2000_115_110         70.8       1.9     146.7       2.0      38.0       1.3    0.9941      0.28       0.7     4.026     Polar          0.00      0.00   9000.00
4135H__050_2000_115_115         70.9       2.0     146.3       1.7      37.9       0.9    0.9936      0.29       0.8     4.267     Polar          0.00      0.00   9000.00
4135H__050_2000_115_120         70.9       2.0     145.8       1.3      37.7       0.4    0.9933      0.31       0.8     4.499     Polar          0.00      0.00   9000.00
