FARFIELD COMPARISON ANALYSIS FILE

Comparison analysis performed by Nucleus+ version 2.7.1
Comparison analysis performed by Marine Source Modelling version 1.11.1

Time window for computation (ms)   : -68.50  -  331.50
Primary pick window (ms)           : -68.50  -   30.00
Bubble pick window (ms)            :  50.00  -  200.00

Frequency analysis option  : Average absolute spectral deviation
Bandwidth of analysis (Hz) :  10.00  -   70.00


         Farfield name          Peak       %ch    P-to-P       %ch       P/B       %ch    X-corr     AvgdB      MaxdB   MaxPhase   Coordinates     Dip/X     Az/Y    Dist/Z
4135H__050_2000_080             69.5       0.0     143.9       0.0      37.5       0.0    1.0000      0.00       0.0     0.000     Polar          0.00      0.00   9000.00
4135H__050_2000_090_040         70.5       1.5     142.1      -1.3      38.6       2.9    0.9966      0.42       0.9     5.571     Polar          0.00      0.00   9000.00
4135H__050_2000_090_045         70.7       1.7     142.5      -1.0      38.5       2.7    0.9976      0.32       0.7     4.561     Polar          0.00      0.00   9000.00
4135H__050_2000_090_050         70.6       1.7     142.8      -0.8      38.4       2.3    0.9984      0.24       0.6     3.611     Polar          0.00      0.00   9000.00
4135H__050_2000_090_055         70.4       1.4     143.0      -0.6      38.2       1.9    0.9990      0.17       0.4     2.680     Polar          0.00      0.00   9000.00
4135H__050_2000_090_060         70.2       1.0     143.3      -0.4      38.1       1.6    0.9995      0.12       0.3     1.854     Polar          0.00      0.00   9000.00
4135H__050_2000_090_065         69.9       0.7     143.5      -0.3      38.0       1.3    0.9998      0.07       0.2     1.066     Polar          0.00      0.00   9000.00
4135H__050_2000_090_070         69.7       0.4     143.9      -0.0      37.9       1.2    0.9999      0.03       0.1     0.528     Polar          0.00      0.00   9000.00
4135H__050_2000_090_075         69.6       0.2     144.3       0.3      37.9       1.1    0.9999      0.03       0.1     0.375     Polar          0.00      0.00   9000.00
4135H__050_2000_090_080         69.6       0.1     144.8       0.6      38.0       1.3    0.9998      0.06       0.1     0.688     Polar          0.00      0.00   9000.00
4135H__050_2000_090_085         69.6       0.2     145.5       1.1      38.0       1.4    0.9995      0.08       0.2     1.109     Polar          0.00      0.00   9000.00
4135H__050_2000_090_090         69.8       0.4     146.1       1.6      38.1       1.5    0.9990      0.11       0.3     1.526     Polar          0.00      0.00   9000.00
4135H__050_2000_090_095         70.0       0.7     146.8       2.0      38.1       1.6    0.9984      0.13       0.3     1.889     Polar          0.00      0.00   9000.00
4135H__050_2000_090_100         70.2       1.0     147.2       2.3      38.0       1.4    0.9978      0.15       0.4     2.266     Polar          0.00      0.00   9000.00
4135H__050_2000_090_105         70.4       1.3     147.3       2.3      37.9       1.1    0.9972      0.16       0.4     2.571     Polar          0.00      0.00   9000.00
4135H__050_2000_090_110         70.5       1.4     147.1       2.2      37.8       0.7    0.9968      0.18       0.5     2.826     Polar          0.00      0.00   9000.00
4135H__050_2000_090_115         70.5       1.5     146.7       1.9      37.6       0.2    0.9966      0.20       0.5     3.020     Polar          0.00      0.00   9000.00
4135H__050_2000_090_120         70.5       1.4     146.0       1.5      37.4      -0.2    0.9965      0.22       0.5     3.289     Polar          0.00      0.00   9000.00
