FARFIELD COMPARISON ANALYSIS FILE

Comparison analysis performed by Nucleus+ version 2.7.1
Comparison analysis performed by Marine Source Modelling version 1.11.1

Time window for computation (ms)   : -68.50  -  331.50
Primary pick window (ms)           : -68.50  -   30.00
Bubble pick window (ms)            :  50.00  -  200.00

Frequency analysis option  : Average absolute spectral deviation
Bandwidth of analysis (Hz) :  10.00  -   70.00


         Farfield name          Peak       %ch    P-to-P       %ch       P/B       %ch    X-corr     AvgdB      MaxdB   MaxPhase   Coordinates     Dip/X     Az/Y    Dist/Z
4135H__050_2000_080             69.5       0.0     143.9       0.0      37.5       0.0    1.0000      0.00       0.0     0.000     Polar          0.00      0.00   9000.00
4135H__050_2000_095_040         70.6       1.5     141.7      -1.5      38.6       3.0    0.9966      0.38       0.8     5.247     Polar          0.00      0.00   9000.00
4135H__050_2000_095_045         70.7       1.8     142.2      -1.2      38.5       2.7    0.9976      0.29       0.7     4.245     Polar          0.00      0.00   9000.00
4135H__050_2000_095_050         70.6       1.7     142.6      -0.9      38.4       2.3    0.9984      0.21       0.5     3.269     Polar          0.00      0.00   9000.00
4135H__050_2000_095_055         70.5       1.4     143.0      -0.7      38.3       2.0    0.9990      0.15       0.4     2.317     Polar          0.00      0.00   9000.00
4135H__050_2000_095_060         70.2       1.1     143.3      -0.4      38.2       1.8    0.9995      0.10       0.2     1.484     Polar          0.00      0.00   9000.00
4135H__050_2000_095_065         70.0       0.8     143.7      -0.1      38.1       1.7    0.9997      0.05       0.1     0.833     Polar          0.00      0.00   9000.00
4135H__050_2000_095_070         69.8       0.5     144.2       0.2      38.1       1.6    0.9998      0.03       0.1     0.581     Polar          0.00      0.00   9000.00
4135H__050_2000_095_075         69.8       0.4     144.8       0.6      38.1       1.7    0.9997      0.05       0.1     0.694     Polar          0.00      0.00   9000.00
4135H__050_2000_095_080         69.7       0.4     145.5       1.1      38.2       1.9    0.9995      0.08       0.2     1.019     Polar          0.00      0.00   9000.00
4135H__050_2000_095_085         69.8       0.5     146.1       1.5      38.3       2.0    0.9990      0.10       0.3     1.410     Polar          0.00      0.00   9000.00
4135H__050_2000_095_090         70.0       0.7     146.8       2.0      38.3       2.1    0.9984      0.13       0.3     1.804     Polar          0.00      0.00   9000.00
4135H__050_2000_095_095         70.2       1.0     147.3       2.4      38.3       2.0    0.9977      0.15       0.4     2.187     Polar          0.00      0.00   9000.00
4135H__050_2000_095_100         70.4       1.2     147.6       2.6      38.2       1.8    0.9970      0.17       0.5     2.538     Polar          0.00      0.00   9000.00
4135H__050_2000_095_105         70.5       1.4     147.6       2.6      38.1       1.4    0.9965      0.19       0.5     2.821     Polar          0.00      0.00   9000.00
4135H__050_2000_095_110         70.6       1.6     147.4       2.4      37.9       1.1    0.9961      0.21       0.5     3.044     Polar          0.00      0.00   9000.00
4135H__050_2000_095_115         70.6       1.6     146.9       2.1      37.8       0.7    0.9959      0.22       0.6     3.216     Polar          0.00      0.00   9000.00
4135H__050_2000_095_120         70.5       1.5     146.2       1.6      37.6       0.2    0.9959      0.24       0.6     3.581     Polar          0.00      0.00   9000.00
