FARFIELD COMPARISON ANALYSIS FILE

Comparison analysis performed by Nucleus+ version 2.7.1
Comparison analysis performed by Marine Source Modelling version 1.11.1

Time window for computation (ms)   : -68.50  -  331.50
Primary pick window (ms)           : -68.50  -   30.00
Bubble pick window (ms)            :  50.00  -  200.00

Frequency analysis option  : Average absolute spectral deviation
Bandwidth of analysis (Hz) :  10.00  -   70.00


         Farfield name          Peak       %ch    P-to-P       %ch       P/B       %ch    X-corr     AvgdB      MaxdB   MaxPhase   Coordinates     Dip/X     Az/Y    Dist/Z
4135H__050_2000_080             69.5       0.0     143.9       0.0      37.5       0.0    1.0000      0.00       0.0     0.000     Polar          0.00      0.00   9000.00
4135H__050_2000_050_040         70.7       1.8     140.0      -2.7      36.9      -1.5    0.9846      0.87       1.7    10.592     Polar          0.00      0.00   9000.00
4135H__050_2000_050_045         71.1       2.3     141.6      -1.6      37.0      -1.4    0.9869      0.76       1.4     9.768     Polar          0.00      0.00   9000.00
4135H__050_2000_050_050         71.3       2.6     142.8      -0.8      36.9      -1.6    0.9890      0.68       1.2     8.849     Polar          0.00      0.00   9000.00
4135H__050_2000_050_055         71.3       2.7     143.5      -0.3      36.8      -1.9    0.9910      0.60       1.0     7.911     Polar          0.00      0.00   9000.00
4135H__050_2000_050_060         71.3       2.6     143.8      -0.0      36.7      -2.2    0.9929      0.53       0.9     7.036     Polar          0.00      0.00   9000.00
4135H__050_2000_050_065         71.2       2.4     144.0       0.1      36.5      -2.6    0.9945      0.47       0.8     6.199     Polar          0.00      0.00   9000.00
4135H__050_2000_050_070         71.0       2.2     143.9       0.0      36.4      -3.0    0.9959      0.41       0.7     5.464     Polar          0.00      0.00   9000.00
4135H__050_2000_050_075         70.9       2.0     143.7      -0.1      36.2      -3.5    0.9970      0.36       0.6     4.771     Polar          0.00      0.00   9000.00
4135H__050_2000_050_080         70.8       1.8     143.5      -0.3      36.0      -4.0    0.9978      0.31       0.5     4.166     Polar          0.00      0.00   9000.00
4135H__050_2000_050_085         70.7       1.7     143.2      -0.5      35.8      -4.4    0.9983      0.27       0.5     3.639     Polar          0.00      0.00   9000.00
4135H__050_2000_050_090         70.6       1.6     142.9      -0.7      35.7      -4.9    0.9986      0.22       0.4     3.158     Polar          0.00      0.00   9000.00
4135H__050_2000_050_095         70.6       1.7     142.7      -0.8      35.5      -5.3    0.9986      0.19       0.4     2.693     Polar          0.00      0.00   9000.00
4135H__050_2000_050_100         70.7       1.7     142.5      -1.0      35.4      -5.7    0.9983      0.16       0.4     2.246     Polar          0.00      0.00   9000.00
4135H__050_2000_050_105         70.8       1.9     142.3      -1.1      35.2      -6.1    0.9979      0.14       0.3     1.893     Polar          0.00      0.00   9000.00
4135H__050_2000_050_110         70.9       2.0     142.1      -1.2      35.1      -6.5    0.9974      0.12       0.3     1.708     Polar          0.00      0.00   9000.00
4135H__050_2000_050_115         71.0       2.1     141.9      -1.4      34.9      -6.9    0.9968      0.11       0.3     1.550     Polar          0.00      0.00   9000.00
4135H__050_2000_050_120         71.0       2.2     141.6      -1.6      34.8      -7.2    0.9962      0.10       0.3     1.776     Polar          0.00      0.00   9000.00
